condition,k,cut,endpoint,method,baseline,metric,images,buildings,delta,ci_low,ci_high,building_macro_delta
manual,4,0.1,terminal_singleton_fraction,seed_person_t025,seed_equal,abs_error,46,15,-0.0002449893092576344,-0.00047733865244055753,-5.320236300808874e-05,-0.00017798645180831923
manual,4,0.1,terminal_singleton_fraction,seed_type4,seed_equal,abs_error,46,15,-0.0005838182183741707,-0.0009648731729932432,-0.00032107851531242455,-0.0007077939362157041
manual,4,0.1,terminal_singleton_fraction,selected_mixture,seed_equal,abs_error,46,15,-0.015427548786228113,-0.01935258923282252,-0.011900571347694894,-0.016406552474111828
manual,4,0.1,terminal_supported,seed_context_t025,seed_equal,abs_error,46,15,0.00033967391304347825,-0.0019000023096821877,0.0022607251742160204,-0.0013020833333333335
manual,4,0.1,terminal_supported,seed_person_t025,seed_equal,abs_error,46,15,0.0030570652173913045,-0.000933739973262032,0.007560246865203757,0.0026988636363636364
manual,4,0.1,terminal_supported,seed_type4,seed_equal,abs_error,46,15,0.0078125,0.00173828125,0.01488095238095238,0.011829229797979799
manual,4,0.1,terminal_supported,selected_mixture,seed_equal,abs_error,46,15,-0.257133152173913,-0.43274794884169887,-0.03980078125000005,-0.2597380050505051
manual,4,0.1,terminal_within,seed_context_t025,seed_equal,abs_error,46,15,-2.932666083264204e-05,-0.00015472152675468154,0.00011413946430909023,8.930529729801472e-05
manual,4,0.1,terminal_within,seed_person_t025,seed_equal,abs_error,46,15,-4.8184658941545376e-05,-0.0001843085198816688,0.00012267914254410743,9.836474064498971e-05
manual,4,0.1,terminal_within,seed_type4,seed_equal,abs_error,46,15,0.00032750165644815333,-5.38080346552055e-05,0.000650887225337406,0.00035464906831729866
manual,4,0.1,terminal_within,selected_mixture,seed_equal,abs_error,46,15,-0.0019248943012242863,-0.002646384045456443,-0.0010585028019231882,-0.0017199618327291733
manual,4,0.2,diagnostic_stable100,seed_context_t025,seed_equal,abs_error,46,15,-0.002377717391304348,-0.006626352163461538,0.0020833333333333333,-0.0012073863636363638
manual,4,0.2,diagnostic_stable100,seed_person_t025,seed_equal,abs_error,46,15,-0.001358695652173913,-0.0058947332974137925,0.0020760569852941156,-0.003708964646464646
manual,4,0.2,diagnostic_stable100,seed_type4,seed_equal,abs_error,46,15,-0.00577445652173913,-0.015625,0.0003238557651321353,-0.007386363636363636
manual,4,0.2,diagnostic_stable100,selected_mixture,seed_equal,abs_error,46,15,-0.2710597826086957,-0.33231112968836185,-0.21669277987637373,-0.2818260732323232
manual,4,0.2,diagnostic_stable80,seed_context_t025,seed_equal,abs_error,46,15,-0.002377717391304348,-0.005663076073232323,0.0007721989329268267,-0.0015625
manual,4,0.2,diagnostic_stable80,seed_person_t025,seed_equal,abs_error,46,15,-0.003736413043478261,-0.011043907805832148,0.0008569115990990959,-0.007307449494949494
manual,4,0.2,diagnostic_stable80,seed_type4,seed_equal,abs_error,46,15,-0.002717391304347826,-0.012388891994633272,0.004636310747098641,-0.001049558080808081
manual,4,0.2,diagnostic_stable80,selected_mixture,seed_equal,abs_error,46,15,-0.10631793478260869,-0.14925178382663848,-0.0560983937937063,-0.11117424242424241
manual,4,0.2,diagnostic_stable_multimode80,seed_context_t025,seed_equal,abs_error,46,15,-0.0020380434782608695,-0.005626502403846154,0.0026041666666666665,0.00026041666666666655
