stage,worker_id_left,worker_id_right,shared_task_count,source_artifact,source_sha256
P1,29,36,57,post_block2_submission_master.csv,bound_after_materialization
P1,29,37,57,post_block2_submission_master.csv,bound_after_materialization
P1,29,6,0,post_block2_submission_master.csv,bound_after_materialization
P1,29,8,0,post_block2_submission_master.csv,bound_after_materialization
P1,30,31,57,post_block2_submission_master.csv,bound_after_materialization
P1,30,32,57,post_block2_submission_master.csv,bound_after_materialization
P1,30,33,57,post_block2_submission_master.csv,bound_after_materialization
P1,30,34,57,post_block2_submission_master.csv,bound_after_materialization
P1,30,35,57,post_block2_submission_master.csv,bound_after_materialization
P1,30,36,57,post_block2_submission_master.csv,bound_after_materialization
P1,30,37,57,post_block2_submission_master.csv,bound_after_materialization
P1,30,6,0,post_block2_submission_master.csv,bound_after_materialization
P1,30,8,0,post_block2_submission_master.csv,bound_after_materialization
P1,31,32,57,post_block2_submission_master.csv,bound_after_materialization
P1,31,33,57,post_block2_submission_master.csv,bound_after_materialization
P1,31,34,57,post_block2_submission_master.csv,bound_after_materialization
P1,31,35,57,post_block2_submission_master.csv,bound_after_materialization
P1,31,36,57,post_block2_submission_master.csv,bound_after_materialization
P1,31,37,57,post_block2_submission_master.csv,bound_after_materialization
P1,31,6,0,post_block2_submission_master.csv,bound_after_materialization
P1,31,8,0,post_block2_submission_master.csv,bound_after_materialization
P1,32,33,57,post_block2_submission_master.csv,bound_after_materialization
P1,32,34,57,post_block2_submission_master.csv,bound_after_materialization
P1,32,35,57,post_block2_submission_master.csv,bound_after_materialization
P1,32,36,57,post_block2_submission_master.csv,bound_after_materialization
P1,32,37,57,post_block2_submission_master.csv,bound_after_materialization
P1,32,6,0,post_block2_submission_master.csv,bound_after_materialization
P1,32,8,0,post_block2_submission_master.csv,bound_after_materialization
P1,33,34,57,post_block2_submission_master.csv,bound_after_materialization
P1,33,35,57,post_block2_submission_master.csv,bound_after_materialization
P1,33,36,57,post_block2_submission_master.csv,bound_after_materialization
P1,33,37,57,post_block2_submission_master.csv,bound_after_materialization
P1,33,6,0,post_block2_submission_master.csv,bound_after_materialization
P1,33,8,0,post_block2_submission_master.csv,bound_after_materialization
P1,34,35,57,post_block2_submission_master.csv,bound_after_materialization
P1,34,36,57,post_block2_submission_master.csv,bound_after_materialization
P1,34,37,57,post_block2_submission_master.csv,bound_after_materialization
P1,34,6,0,post_block2_submission_master.csv,bound_after_materialization
P1,34,8,0,post_block2_submission_master.csv,bound_after_materialization
P1,35,36,57,post_block2_submission_master.csv,bound_after_materialization
P1,35,37,57,post_block2_submission_master.csv,bound_after_materialization
P1,35,6,0,post_block2_submission_master.csv,bound_after_materialization
P1,35,8,0,post_block2_submission_master.csv,bound_after_materialization
P1,36,37,57,post_block2_submission_master.csv,bound_after_materialization
P1,36,6,0,post_block2_submission_master.csv,bound_after_materialization
P1,36,8,0,post_block2_submission_master.csv,bound_after_materialization
P1,37,6,0,post_block2_submission_master.csv,bound_after_materialization
P1,37,8,0,post_block2_submission_master.csv,bound_after_materialization
P1,6,8,57,post_block2_submission_master.csv,bound_after_materialization
C1,1,10,12,post_block2_submission_master.csv,bound_after_materialization
C1,1,11,15,post_block2_submission_master.csv,bound_after_materialization
C1,1,12,23,post_block2_submission_master.csv,bound_after_materialization
C1,1,13,13,post_block2_submission_master.csv,bound_after_materialization
C1,1,14,15,post_block2_submission_master.csv,bound_after_materialization
C1,1,15,15,post_block2_submission_master.csv,bound_after_materialization
C1,1,17,14,post_block2_submission_master.csv,bound_after_materialization
C1,1,18,14,post_block2_submission_master.csv,bound_after_materialization
C1,1,19,0,post_block2_submission_master.csv,bound_after_materialization
C1,1,2,27,post_block2_submission_master.csv,bound_after_materialization
C1,1,21,0,post_block2_submission_master.csv,bound_after_materialization
C1,1,26,0,post_block2_submission_master.csv,bound_after_materialization
C1,1,27,16,post_block2_submission_master.csv,bound_after_materialization
C1,1,28,17,post_block2_submission_master.csv,bound_after_materialization
C1,1,29,14,post_block2_submission_master.csv,bound_after_materialization
C1,1,30,21,post_block2_submission_master.csv,bound_after_materialization
C1,1,31,17,post_block2_submission_master.csv,bound_after_materialization
C1,1,32,15,post_block2_submission_master.csv,bound_after_materialization
C1,1,33,14,post_block2_submission_master.csv,bound_after_materialization
C1,1,34,21,post_block2_submission_master.csv,bound_after_materialization
C1,1,35,14,post_block2_submission_master.csv,bound_after_materialization
C1,1,36,18,post_block2_submission_master.csv,bound_after_materialization
C1,1,37,19,post_block2_submission_master.csv,bound_after_materialization
C1,1,6,12,post_block2_submission_master.csv,bound_after_materialization
C1,1,8,13,post_block2_submission_master.csv,bound_after_materialization
C1,10,11,13,post_block2_submission_master.csv,bound_after_materialization
C1,10,12,12,post_block2_submission_master.csv,bound_after_materialization
C1,10,13,22,post_block2_submission_master.csv,bound_after_materialization
C1,10,14,21,post_block2_submission_master.csv,bound_after_materialization
C1,10,15,14,post_block2_submission_master.csv,bound_after_materialization
C1,10,17,19,post_block2_submission_master.csv,bound_after_materialization
C1,10,18,23,post_block2_submission_master.csv,bound_after_materialization
C1,10,19,0,post_block2_submission_master.csv,bound_after_materialization
C1,10,2,13,post_block2_submission_master.csv,bound_after_materialization
C1,10,21,0,post_block2_submission_master.csv,bound_after_materialization
C1,10,26,0,post_block2_submission_master.csv,bound_after_materialization
C1,10,27,15,post_block2_submission_master.csv,bound_after_materialization
C1,10,28,13,post_block2_submission_master.csv,bound_after_materialization
C1,10,29,14,post_block2_submission_master.csv,bound_after_materialization
C1,10,30,14,post_block2_submission_master.csv,bound_after_materialization
C1,10,31,16,post_block2_submission_master.csv,bound_after_materialization
C1,10,32,13,post_block2_submission_master.csv,bound_after_materialization
C1,10,33,13,post_block2_submission_master.csv,bound_after_materialization
C1,10,34,22,post_block2_submission_master.csv,bound_after_materialization
C1,10,35,18,post_block2_submission_master.csv,bound_after_materialization
C1,10,36,12,post_block2_submission_master.csv,bound_after_materialization
C1,10,37,13,post_block2_submission_master.csv,bound_after_materialization
C1,10,6,24,post_block2_submission_master.csv,bound_after_materialization
C1,10,8,20,post_block2_submission_master.csv,bound_after_materialization
C1,11,12,16,post_block2_submission_master.csv,bound_after_materialization
C1,11,13,13,post_block2_submission_master.csv,bound_after_materialization
C1,11,14,14,post_block2_submission_master.csv,bound_after_materialization
C1,11,15,25,post_block2_submission_master.csv,bound_after_materialization
C1,11,17,13,post_block2_submission_master.csv,bound_after_materialization
C1,11,18,13,post_block2_submission_master.csv,bound_after_materialization
C1,11,19,0,post_block2_submission_master.csv,bound_after_materialization
C1,11,2,15,post_block2_submission_master.csv,bound_after_materialization
C1,11,21,0,post_block2_submission_master.csv,bound_after_materialization
C1,11,26,0,post_block2_submission_master.csv,bound_after_materialization
C1,11,27,13,post_block2_submission_master.csv,bound_after_materialization
C1,11,28,14,post_block2_submission_master.csv,bound_after_materialization
C1,11,29,14,post_block2_submission_master.csv,bound_after_materialization
C1,11,30,15,post_block2_submission_master.csv,bound_after_materialization
C1,11,31,18,post_block2_submission_master.csv,bound_after_materialization
C1,11,32,17,post_block2_submission_master.csv,bound_after_materialization
C1,11,33,24,post_block2_submission_master.csv,bound_after_materialization
C1,11,34,20,post_block2_submission_master.csv,bound_after_materialization
C1,11,35,13,post_block2_submission_master.csv,bound_after_materialization
C1,11,36,17,post_block2_submission_master.csv,bound_after_materialization
C1,11,37,19,post_block2_submission_master.csv,bound_after_materialization
C1,11,6,14,post_block2_submission_master.csv,bound_after_materialization
C1,11,8,13,post_block2_submission_master.csv,bound_after_materialization
C1,12,13,13,post_block2_submission_master.csv,bound_after_materialization
C1,12,14,13,post_block2_submission_master.csv,bound_after_materialization
C1,12,15,16,post_block2_submission_master.csv,bound_after_materialization
C1,12,17,13,post_block2_submission_master.csv,bound_after_materialization
C1,12,18,13,post_block2_submission_master.csv,bound_after_materialization
C1,12,19,0,post_block2_submission_master.csv,bound_after_materialization
C1,12,2,19,post_block2_submission_master.csv,bound_after_materialization
C1,12,21,0,post_block2_submission_master.csv,bound_after_materialization
C1,12,26,0,post_block2_submission_master.csv,bound_after_materialization
C1,12,27,22,post_block2_submission_master.csv,bound_after_materialization
C1,12,28,14,post_block2_submission_master.csv,bound_after_materialization
C1,12,29,15,post_block2_submission_master.csv,bound_after_materialization
C1,12,30,21,post_block2_submission_master.csv,bound_after_materialization
C1,12,31,16,post_block2_submission_master.csv,bound_after_materialization
C1,12,32,13,post_block2_submission_master.csv,bound_after_materialization
C1,12,33,14,post_block2_submission_master.csv,bound_after_materialization
C1,12,34,18,post_block2_submission_master.csv,bound_after_materialization
C1,12,35,14,post_block2_submission_master.csv,bound_after_materialization
C1,12,36,17,post_block2_submission_master.csv,bound_after_materialization
C1,12,37,16,post_block2_submission_master.csv,bound_after_materialization
C1,12,6,12,post_block2_submission_master.csv,bound_after_materialization
C1,12,8,14,post_block2_submission_master.csv,bound_after_materialization
C1,13,14,26,post_block2_submission_master.csv,bound_after_materialization
C1,13,15,12,post_block2_submission_master.csv,bound_after_materialization
C1,13,17,13,post_block2_submission_master.csv,bound_after_materialization
C1,13,18,25,post_block2_submission_master.csv,bound_after_materialization
C1,13,19,0,post_block2_submission_master.csv,bound_after_materialization
C1,13,2,14,post_block2_submission_master.csv,bound_after_materialization
C1,13,21,0,post_block2_submission_master.csv,bound_after_materialization
C1,13,26,0,post_block2_submission_master.csv,bound_after_materialization
C1,13,27,14,post_block2_submission_master.csv,bound_after_materialization
C1,13,28,15,post_block2_submission_master.csv,bound_after_materialization
C1,13,29,20,post_block2_submission_master.csv,bound_after_materialization
C1,13,30,15,post_block2_submission_master.csv,bound_after_materialization
C1,13,31,15,post_block2_submission_master.csv,bound_after_materialization
C1,13,32,15,post_block2_submission_master.csv,bound_after_materialization
C1,13,33,13,post_block2_submission_master.csv,bound_after_materialization
C1,13,34,25,post_block2_submission_master.csv,bound_after_materialization
C1,13,35,24,post_block2_submission_master.csv,bound_after_materialization
C1,13,36,12,post_block2_submission_master.csv,bound_after_materialization
C1,13,37,12,post_block2_submission_master.csv,bound_after_materialization
C1,13,6,16,post_block2_submission_master.csv,bound_after_materialization
C1,13,8,13,post_block2_submission_master.csv,bound_after_materialization
C1,14,15,12,post_block2_submission_master.csv,bound_after_materialization
C1,14,17,15,post_block2_submission_master.csv,bound_after_materialization
C1,14,18,29,post_block2_submission_master.csv,bound_after_materialization
C1,14,19,0,post_block2_submission_master.csv,bound_after_materialization
C1,14,2,12,post_block2_submission_master.csv,bound_after_materialization
