analysis_kind,population_or_scenario,analysis_stratum,k_total,metric,estimate_task_equal,ci95_lower_building_bootstrap,ci95_upper_building_bootstrap,task_count,task_count_with_metric,building_count
subgroup_contrast_exact,A_minus_C,pooled_reference_sensitivity_41,3,resolved_rate,0.0886178861788618,-0.00483009141156462,0.15633358662613983,41,41,11
subgroup_contrast_exact,A_minus_C,pooled_reference_sensitivity_41,3,supported_multimodal_rate,0.0,0.0,0.0,41,41,11
subgroup_contrast_exact,A_minus_C,pooled_reference_sensitivity_41,3,resolved_only_quality,0.031057712254539432,0.014273979731821446,0.04235645372544667,41,36,11
subgroup_contrast_exact,A_minus_C,pooled_reference_sensitivity_41,3,delivery_adjusted_quality,0.10113023774582532,0.01462391992789161,0.1631981195699969,41,41,11
subgroup_contrast_exact,A_minus_C,pooled_reference_sensitivity_41,3,pooled_full_output_recovery_rate,-0.004365079365079362,-0.03749999999999999,0.01517857142857143,41,18,11
subgroup_contrast_exact,A_minus_C,C1_primary_12,4,resolved_rate,0.11190476190476191,0.004563492063492061,0.1772893772893773,12,12,5
subgroup_contrast_exact,A_minus_C,C1_primary_12,4,supported_multimodal_rate,-0.01190476190476191,-0.1603174603174603,0.07239858906525572,12,12,5
subgroup_contrast_exact,A_minus_C,C1_primary_12,4,resolved_only_quality,0.03387787518708536,0.013389471004596889,0.04652459734844262,12,11,5
subgroup_contrast_exact,A_minus_C,C1_primary_12,4,delivery_adjusted_quality,0.13158762369569987,0.028756993333894934,0.19162853828779775,12,12,5
subgroup_contrast_exact,A_minus_C,C1_primary_12,4,pooled_full_output_recovery_rate,-0.03968253968253969,-0.11904761904761907,0.0,12,3,5
subgroup_contrast_exact,A_minus_C,P1_reference_sensitivity_29,4,resolved_rate,0.08111658456486043,-0.004767080745341615,0.14500886210563632,29,29,11
subgroup_contrast_exact,A_minus_C,P1_reference_sensitivity_29,4,supported_multimodal_rate,-0.015435139573070607,-0.065935960591133,0.021018926626912113,29,29,11
