image_id,building,condition,cut,scene,replay,rule,state,onset,tail_first_k,late_new_geometry,late_support_promotions,tail_max_TV
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,B6ByNegPMKs,manual,0.1,起居与休闲,72,G10_geometry,current_changes,3.0,2,0,0,0.0
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,B6ByNegPMKs,manual,0.1,起居与休闲,73,G10_geometry,current_changes,3.0,2,0,0,0.0
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,B6ByNegPMKs,manual,0.1,起居与休闲,81,G10_geometry,current_changes,3.0,2,0,0,0.0
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,B6ByNegPMKs,manual,0.1,起居与休闲,83,G10_geometry,current_changes,3.0,2,0,0,0.0
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,B6ByNegPMKs,manual,0.1,起居与休闲,86,G10_geometry,current_changes,3.0,2,0,0,0.0
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,B6ByNegPMKs,manual,0.1,起居与休闲,88,G10_geometry,current_changes,3.0,2,0,0,0.0
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,B6ByNegPMKs,manual,0.1,起居与休闲,91,G10_geometry,current_changes,4.0,2,0,0,0.0
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,B6ByNegPMKs,manual,0.1,起居与休闲,92,G10_geometry,current_changes,3.0,2,0,0,0.0
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,B6ByNegPMKs,manual,0.1,起居与休闲,93,G10_geometry,current_changes,3.0,2,0,0,0.0
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,B6ByNegPMKs,manual,0.1,起居与休闲,97,G10_geometry,current_changes,3.0,2,0,0,0.0
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,B6ByNegPMKs,manual,0.1,起居与休闲,98,G10_geometry,current_changes,4.0,2,0,0,0.0
B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,B6ByNegPMKs,manual,0.1,工作与学习,0,G10_geometry,current_changes,4.0,2,0,2,0.1
B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,B6ByNegPMKs,manual,0.1,工作与学习,1,G10_geometry,current_changes,4.0,2,0,2,0.1
B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,B6ByNegPMKs,manual,0.1,工作与学习,2,G10_geometry,current_changes,4.0,2,1,1,0.4
B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,B6ByNegPMKs,manual,0.1,工作与学习,3,G10_geometry,current_changes,4.0,2,0,2,0.266666666667
B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,B6ByNegPMKs,manual,0.1,工作与学习,4,G10_geometry,current_changes,4.0,2,0,2,0.266666666667
B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,B6ByNegPMKs,manual,0.1,工作与学习,5,G10_geometry,current_changes,4.0,2,0,2,0.266666666667
B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,B6ByNegPMKs,manual,0.1,工作与学习,7,G10_geometry,current_changes,4.0,2,0,2,0.1
B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,B6ByNegPMKs,manual,0.1,工作与学习,8,G10_geometry,current_changes,4.0,2,1,1,0.4
B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,B6ByNegPMKs,manual,0.1,工作与学习,10,G10_geometry,current_changes,4.0,2,0,2,0.266666666667
B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,B6ByNegPMKs,manual,0.1,工作与学习,11,G10_geometry,current_changes,4.0,2,1,1,0.4
B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,B6ByNegPMKs,manual,0.1,工作与学习,14,G10_geometry,current_changes,4.0,2,1,1,0.4
B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,B6ByNegPMKs,manual,0.1,工作与学习,20,G10_geometry,current_changes,4.0,2,0,2,0.1
B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,B6ByNegPMKs,manual,0.1,工作与学习,22,G10_geometry,current_changes,4.0,2,1,1,0.4
B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,B6ByNegPMKs,manual,0.1,工作与学习,27,G10_geometry,current_changes,4.0,2,1,1,0.6
B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,B6ByNegPMKs,manual,0.1,工作与学习,32,G10_geometry,current_changes,4.0,2,1,1,0.4
B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,B6ByNegPMKs,manual,0.1,工作与学习,33,G10_geometry,current_changes,4.0,2,1,1,0.4
B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,B6ByNegPMKs,manual,0.1,工作与学习,35,G10_geometry,current_changes,4.0,2,1,1,0.4
B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,B6ByNegPMKs,manual,0.1,工作与学习,36,G10_geometry,current_changes,4.0,2,0,2,0.266666666667
