predictor,outcome,predictor_duplicate_alias,task_count,building_count,rank_effect_spearman,effect_rank_transformed,effect,cluster_bootstrap_rank_ci_lower,cluster_bootstrap_rank_ci_upper,ci_lower,ci_upper,wild_cluster_exact_or_mc_p,p_value,inference_unit,q_bh_global_unique,q_bh_within_outcome_unique,q_bh_global_unique_predictors,q_bh_within_outcome_unique_predictors
gt_pair_count,edit_rmse_mean,False,20,9,-0.035475105473557894,-0.035475105473557894,-0.035475105473557894,-0.5173734094324262,0.5422162042847699,-0.5173734094324262,0.5422162042847699,0.89453125,0.89453125,"building_cluster; rank(x), rank(y); exact signflip when clusters <= 12",0.92578125,0.89453125,0.92578125,0.89453125
gt_pair_count,delta_metric_mean,False,21,9,-0.13791625343674038,-0.13791625343674038,-0.13791625343674038,-0.6534442111474825,0.37257295782073535,-0.6534442111474825,0.37257295782073535,0.66015625,0.66015625,"building_cluster; rank(x), rank(y); exact signflip when clusters <= 12",0.8352997448979592,0.8795572916666666,0.8352997448979592,0.8795572916666666
proposal_initial_quality_mean,delta_shannon_entropy,False,21,9,-0.3710861329028436,-0.3710861329028436,-0.3710861329028436,-0.6744616539214723,-0.33494032152781644,-0.6744616539214723,-0.33494032152781644,0.337890625,0.337890625,"building_cluster; rank(x), rank(y); exact signflip when clusters <= 12",0.738671875,0.59375,0.738671875,0.59375
proposal_initial_quality_mean,delta_gini_simpson,False,21,9,-0.3712078603566352,-0.3712078603566352,-0.3712078603566352,-0.6713107151353328,-0.33551990376010404,-0.6713107151353328,-0.33551990376010404,0.337890625,0.337890625,"building_cluster; rank(x), rank(y); exact signflip when clusters <= 12",0.738671875,0.5859375,0.738671875,0.5859375
proposal_initial_quality_mean,delta_largest_mode_share,False,21,9,0.3724317603484541,0.3724317603484541,0.3724317603484541,0.33546181010478854,0.6755415822498217,0.33546181010478854,0.6755415822498217,0.34765625,0.34765625,"building_cluster; rank(x), rank(y); exact signflip when clusters <= 12",0.738671875,0.546875,0.738671875,0.546875
proposal_initial_quality_mean,delta_supported_multimodality,False,21,9,-0.09096678634074566,-0.09096678634074566,-0.09096678634074566,-0.216300170051217,-0.04545454545454546,-0.216300170051217,-0.04545454545454546,0.42578125,0.42578125,"building_cluster; rank(x), rank(y); exact signflip when clusters <= 12",0.738671875,0.4967447916666667,0.738671875,0.4967447916666667
proposal_initial_quality_mean,delta_pairwise_metric_dissimilarity_all,False,21,9,-0.3692744729379982,-0.3692744729379982,-0.3692744729379982,-0.6655283913569978,-0.3337901109828168,-0.6655283913569978,-0.3337901109828168,0.193359375,0.193359375,"building_cluster; rank(x), rank(y); exact signflip when clusters <= 12",0.738671875,0.833984375,0.738671875,0.833984375
proposal_initial_quality_mean,delta_quality_iou,False,21,9,0.3692744729379982,0.3692744729379982,0.3692744729379982,0.33131557806564577,0.6651159163304798,0.33131557806564577,0.6651159163304798,0.24609375,0.24609375,"building_cluster; rank(x), rank(y); exact signflip when clusters <= 12",0.738671875,0.34453125,0.738671875,0.34453125
proposal_initial_quality_mean,edit_rate,False,21,9,-0.26502623992697283,-0.26502623992697283,-0.26502623992697283,-0.4525242059786272,-0.20353245213606086,-0.4525242059786272,-0.20353245213606086,0.248046875,0.248046875,"building_cluster; rank(x), rank(y); exact signflip when clusters <= 12",0.738671875,0.5787760416666666,0.738671875,0.5787760416666666
proposal_initial_quality_mean,edit_rmse_mean,False,19,8,,,,,,,,,,"building_cluster; rank(x), rank(y); exact signflip when clusters <= 12",,,,
proposal_initial_quality_mean,delta_metric_mean,False,21,9,0.29541957835039856,0.29541957835039856,0.29541957835039856,0.21080244647924193,0.5972996970015201,0.21080244647924193,0.5972996970015201,0.28125,0.28125,"building_cluster; rank(x), rank(y); exact signflip when clusters <= 12",0.738671875,0.8795572916666666,0.738671875,0.8795572916666666
