heldout_building,worker_id,reference_effect,operational_coarse
rPc6DW4iMge,10,0.368978552758,B
rPc6DW4iMge,11,-0.861103901346,A
rPc6DW4iMge,12,0.400816326761,B
rPc6DW4iMge,13,0.309172188044,B
rPc6DW4iMge,15,-1.13927548961,A
rPc6DW4iMge,17,-1.15954953966,A
rPc6DW4iMge,2,-3.96824609187,A
rPc6DW4iMge,28,0.0697560064363,A
rPc6DW4iMge,29,0.838425455196,B
rPc6DW4iMge,30,1.0483378255,B
rPc6DW4iMge,31,0.134571583719,A
rPc6DW4iMge,32,0.386162388243,B
rPc6DW4iMge,33,-0.466813158844,A
rPc6DW4iMge,34,1.63734202528,B
rPc6DW4iMge,35,1.07334574446,B
rPc6DW4iMge,36,0.410286951618,B
rPc6DW4iMge,37,2.05931306961,B
rPc6DW4iMge,6,-0.380172330061,A
rPc6DW4iMge,8,-0.611639494412,A
uNb9QFRL6hY,1,-0.16492161789,A
uNb9QFRL6hY,10,-0.651173433056,A
uNb9QFRL6hY,11,-0.537465747162,A
uNb9QFRL6hY,12,0.508270281752,B
uNb9QFRL6hY,13,0.184126354703,B
uNb9QFRL6hY,15,-0.770565412286,A
uNb9QFRL6hY,17,-1.06469085457,A
uNb9QFRL6hY,2,-3.87684086083,A
uNb9QFRL6hY,28,-0.419077862487,A
uNb9QFRL6hY,29,0.813746045037,B
uNb9QFRL6hY,30,1.34998252053,B
uNb9QFRL6hY,31,-0.0226049445393,A
uNb9QFRL6hY,32,0.579122679808,B
uNb9QFRL6hY,33,-0.817660087624,A
uNb9QFRL6hY,34,1.43495725019,B
uNb9QFRL6hY,35,0.51545306968,B
uNb9QFRL6hY,36,0.503801916662,B
uNb9QFRL6hY,37,2.48989259147,B
uNb9QFRL6hY,6,-0.152006169402,A
uNb9QFRL6hY,8,0.0976542800133,B
wc2JMjhGNzB,1,-0.206853019212,A
wc2JMjhGNzB,10,0.130013922886,B
wc2JMjhGNzB,11,-0.78285039847,A
wc2JMjhGNzB,12,0.560411475241,B
wc2JMjhGNzB,13,0.368620517878,B
wc2JMjhGNzB,15,-1.25882271323,A
wc2JMjhGNzB,17,-0.952102605525,A
wc2JMjhGNzB,2,-3.95767682097,A
wc2JMjhGNzB,28,-0.170965717275,A
wc2JMjhGNzB,29,1.12084977571,B
wc2JMjhGNzB,30,0.885283910647,B
wc2JMjhGNzB,31,-0.082605376992,A
wc2JMjhGNzB,32,0.253078230632,B
wc2JMjhGNzB,33,-0.698245847019,A
wc2JMjhGNzB,34,1.95601253046,B
wc2JMjhGNzB,35,0.857343235715,B
wc2JMjhGNzB,36,0.325320511723,B
wc2JMjhGNzB,37,2.50584250909,B
wc2JMjhGNzB,6,-0.353582670366,A
wc2JMjhGNzB,8,-0.499071450915,A
x8F5xyUWy9e,1,-0.118727528812,A
x8F5xyUWy9e,10,0.0901744174819,B
x8F5xyUWy9e,11,-0.699925383269,A
x8F5xyUWy9e,12,0.538873986071,B
x8F5xyUWy9e,13,0.359828985998,B
x8F5xyUWy9e,15,-1.18097225001,A
x8F5xyUWy9e,17,-1.30420557339,A
x8F5xyUWy9e,2,-3.95710633271,A
x8F5xyUWy9e,28,-0.324109457736,A
x8F5xyUWy9e,29,1.18409118089,B
x8F5xyUWy9e,30,0.977952769689,B
x8F5xyUWy9e,31,-0.009588200611,A
x8F5xyUWy9e,32,0.384706882562,B
x8F5xyUWy9e,33,-0.598852330669,A
x8F5xyUWy9e,34,1.75459577822,B
x8F5xyUWy9e,35,0.854087894722,B
x8F5xyUWy9e,36,0.371203577378,B
x8F5xyUWy9e,37,2.35138508756,B
x8F5xyUWy9e,6,-0.234817855094,A
x8F5xyUWy9e,8,-0.438595648264,A
yqstnuAEVhm,1,0.0390513189454,A
yqstnuAEVhm,10,0.270260224366,B
yqstnuAEVhm,11,-0.928765920069,A
yqstnuAEVhm,12,0.703116814362,B
yqstnuAEVhm,13,0.457804711607,B
yqstnuAEVhm,15,-1.10719715214,A
yqstnuAEVhm,17,-1.21643819231,A
yqstnuAEVhm,2,-3.78526039448,A
yqstnuAEVhm,28,-0.0953544920008,A
yqstnuAEVhm,29,0.780205428498,B
yqstnuAEVhm,30,0.856923407902,B
yqstnuAEVhm,31,-0.112227783852,A
yqstnuAEVhm,32,0.441845145057,B
yqstnuAEVhm,33,-0.57403159738,A
yqstnuAEVhm,34,1.65519898944,B
yqstnuAEVhm,35,0.87491970926,B
yqstnuAEVhm,36,0.477459051123,B
yqstnuAEVhm,37,2.15502681532,B
yqstnuAEVhm,6,-0.106903531252,A
yqstnuAEVhm,8,-0.785632552392,A
zsNo4HB9uLZ,1,-0.121315216879,A
zsNo4HB9uLZ,10,0.0683851912428,B
zsNo4HB9uLZ,11,-0.706661276438,A
zsNo4HB9uLZ,12,0.521379465638,B
zsNo4HB9uLZ,13,0.329549017033,B
zsNo4HB9uLZ,15,-1.17071537308,A
zsNo4HB9uLZ,17,-1.29202211319,A
zsNo4HB9uLZ,2,-3.91062489681,A
zsNo4HB9uLZ,28,-0.138761279172,A
zsNo4HB9uLZ,29,1.01525799358,B
zsNo4HB9uLZ,30,0.990297236601,B
zsNo4HB9uLZ,31,0.046612853746,A
zsNo4HB9uLZ,32,0.313549466424,B
zsNo4HB9uLZ,33,-0.617109512848,A
zsNo4HB9uLZ,34,1.73870810384,B
zsNo4HB9uLZ,35,0.850551556982,B
zsNo4HB9uLZ,36,0.33360564742,B
zsNo4HB9uLZ,37,2.3738208513,B
zsNo4HB9uLZ,6,-0.118850441317,A
zsNo4HB9uLZ,8,-0.505657274078,A
