condition,k,cut,method,metric,images,real_stability,predicted_stability,brier,declaration_rate,false_declaration_rate,false_fraction_among_declarations
oos_geometry,4,0.2,selected_mixture,diagnostic_stable_multimode80,9,0.1111111111111111,0.5416666666666666,0.3357204861111111,0.2222222222222222,0.2222222222222222,1.0
oos_geometry,8,0.05,seed_context_t025,diagnostic_stable100,9,0.0,0.3732638888888889,0.1633572048611111,0.0,0.0,
oos_geometry,8,0.05,seed_context_t025,diagnostic_stable80,9,0.0,0.828125,0.7119683159722222,0.6111111111111112,0.6111111111111112,1.0
oos_geometry,8,0.05,seed_context_t025,diagnostic_stable_multimode80,9,0.0,0.828125,0.7119683159722222,0.6111111111111112,0.6111111111111112,1.0
oos_geometry,8,0.05,seed_equal,diagnostic_stable100,9,0.0,0.3732638888888889,0.1591254340277778,0.0,0.0,
oos_geometry,8,0.05,seed_equal,diagnostic_stable80,9,0.0,0.8159722222222222,0.6942274305555556,0.6666666666666666,0.6666666666666666,1.0
oos_geometry,8,0.05,seed_equal,diagnostic_stable_multimode80,9,0.0,0.8159722222222222,0.6942274305555556,0.6666666666666666,0.6666666666666666,1.0
oos_geometry,8,0.05,seed_person_t025,diagnostic_stable100,9,0.0,0.3420138888888889,0.14100477430555555,0.0,0.0,
oos_geometry,8,0.05,seed_person_t025,diagnostic_stable80,9,0.0,0.8263888888888888,0.7065972222222222,0.6111111111111112,0.6111111111111112,1.0
oos_geometry,8,0.05,seed_person_t025,diagnostic_stable_multimode80,9,0.0,0.8263888888888888,0.7065972222222222,0.6111111111111112,0.6111111111111112,1.0
oos_geometry,8,0.05,seed_type4,diagnostic_stable100,9,0.0,0.296875,0.11908637152777778,0.0,0.0,
oos_geometry,8,0.05,seed_type4,diagnostic_stable80,9,0.0,0.8246527777777778,0.7113172743055556,0.6111111111111112,0.6111111111111112,1.0
oos_geometry,8,0.05,seed_type4,diagnostic_stable_multimode80,9,0.0,0.8246527777777778,0.7113172743055556,0.6111111111111112,0.6111111111111112,1.0
oos_geometry,8,0.05,selected_mixture,diagnostic_stable100,9,0.0,0.1371527777777778,0.026529947916666668,0.0,0.0,
oos_geometry,8,0.05,selected_mixture,diagnostic_stable80,9,0.0,0.609375,0.3982747395833333,0.05555555555555555,0.05555555555555555,1.0
oos_geometry,8,0.05,selected_mixture,diagnostic_stable_multimode80,9,0.0,0.609375,0.3982747395833333,0.05555555555555555,0.05555555555555555,1.0
oos_geometry,8,0.1,seed_context_t025,diagnostic_stable100,9,0.0,0.5225694444444444,0.3053927951388889,0.05555555555555555,0.05555555555555555,1.0
oos_geometry,8,0.1,seed_context_t025,diagnostic_stable80,9,0.05555555555555555,0.828125,0.6564127604166666,0.6111111111111112,0.5555555555555556,0.9090909090909091
