image_id,condition,code,id_a,id_b,worker_a,worker_b,n_a,n_b,legacy,stable,delta,local_max_stable,cardinality_floor
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,7y3sRwLe3Va-04,59650fcf724f11bc,3040d441f80810e4,W006,W028,8,8,0.9139739791101223,0.9139739791104116,2.892130979148533e-13,1.7237585247300686,0.0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,7y3sRwLe3Va-04,59650fcf724f11bc,be7a92e1f36d2292,W006,W029,8,8,2.137854966515864,2.1378549665159574,9.325873406851315e-14,5.196664165866376,0.0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,7y3sRwLe3Va-04,59650fcf724f11bc,674ea0b8b27fa7c7,W006,W030,8,8,1.6640811555446673,1.6640811555448503,1.829647544582258e-13,2.879634291363202,0.0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,7y3sRwLe3Va-04,59650fcf724f11bc,9c964b13299f32cb,W006,W031,8,8,0.860700569484544,0.8607005694847558,2.1183055309847987e-13,1.7441137181070963,0.0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,7y3sRwLe3Va-04,59650fcf724f11bc,6a317a400188cb9b,W006,W032,8,8,0.8679431585937751,0.8679431585938462,7.105427357601002e-14,2.1447204345842046,0.0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,7y3sRwLe3Va-04,59650fcf724f11bc,5f9c3715d22ae336,W006,W033,8,8,1.2658283855767731,1.2658283855769537,1.8052226380405045e-13,2.0967306354659905,0.0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,7y3sRwLe3Va-04,59650fcf724f11bc,2c487c4855775399,W006,W034,8,8,1.2806880736391442,1.2806880736392472,1.0302869668521453e-13,3.542022994853878,0.0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,7y3sRwLe3Va-04,59650fcf724f11bc,f25bd8df99652c2b,W006,W035,8,8,1.821604591248863,1.8216045912489678,1.0480505352461478e-13,3.310926698533939,0.0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,7y3sRwLe3Va-04,59650fcf724f11bc,4bfc0d70b116500c,W006,W036,8,8,1.260250843448308,1.2602508434484885,1.8052226380405045e-13,3.138280208228882,0.0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,7y3sRwLe3Va-04,59650fcf724f11bc,922f49b7c63582f6,W006,W037,8,8,1.665826653034056,1.6658266530343186,2.6267876762631204e-13,3.5303729933400523,0.0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,7y3sRwLe3Va-04,13d54802362fd649,84b0461c974c6f08,W008,W010,8,8,0.8744936056289949,0.8744936056289927,-2.220446049250313e-15,1.1416374991422682,0.0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,7y3sRwLe3Va-04,13d54802362fd649,b36f0dc2bb36d9b6,W008,W011,8,8,0.919338416220019,0.9193384162201618,1.4277468096679513e-13,1.5294757024598604,0.0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,7y3sRwLe3Va-04,13d54802362fd649,e43b14b1a0c01b0f,W008,W012,8,8,1.7251117878323945,1.7251117878324207,2.6201263381153694e-14,2.971077381219262,0.0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,7y3sRwLe3Va-04,13d54802362fd649,a73527487e1ba30e,W008,W013,8,8,1.0530662475501935,1.0530662475506476,4.54081217071689e-13,1.620981256194969,0.0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,7y3sRwLe3Va-04,13d54802362fd649,9bf982556e9845da,W008,W014,8,8,1.0530662475501935,1.0530662475506476,4.54081217071689e-13,1.620981256194969,0.0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,7y3sRwLe3Va-04,13d54802362fd649,6c26d77b8fe5e104,W008,W015,8,8,0.9409009511833516,0.9409009511838167,4.650724250154781e-13,1.3943152770800615,0.0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,7y3sRwLe3Va-04,13d54802362fd649,cbfa1db9b3b7ec4d,W008,W017,8,8,0.9409009511833516,0.9409009511838167,4.650724250154781e-13,1.3943152770800615,0.0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,7y3sRwLe3Va-04,13d54802362fd649,b86432f92a43add3,W008,W018,8,8,0.7456761972538101,0.7456761972537416,-6.850076061937216e-14,1.25578809548131,0.0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,7y3sRwLe3Va-04,13d54802362fd649,9130e3a10b708f2c,W008,W021,8,8,0.919338416220019,0.9193384162201618,1.4277468096679513e-13,1.5294757024598604,0.0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,7y3sRwLe3Va-04,13d54802362fd649,2099f09dd0969482,W008,W027,8,8,1.0949675926138096,1.0949675926138989,8.926193117986259e-14,1.8597903376143157,0.0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,7y3sRwLe3Va-04,13d54802362fd649,3040d441f80810e4,W008,W028,8,8,0.6052492114829373,0.6052492114832483,3.1097346919750635e-13,0.9653583269594139,0.0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,7y3sRwLe3Va-04,13d54802362fd649,be7a92e1f36d2292,W008,W029,8,8,1.8611626836513917,1.8611626836512853,-1.0635936575909e-13,3.877612269934074,0.0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,7y3sRwLe3Va-04,13d54802362fd649,674ea0b8b27fa7c7,W008,W030,8,8,1.258626207120274,1.2586262071204741,2.000621890374532e-13,2.275388830453072,0.0
