condition,information,metric,human_scene,n,groups,delta,lo,hi
semi,S,fixed_future_cov,工作与学习,1,1,0.0105402930403,,
semi,S,fixed_future_cov,起居与休闲,1,1,-0.417032163743,,
semi,S,fixed_future_cov,通行与连接,3,3,0.0257900029632,-0.00310057997558,0.0727894736842
semi,S,mode_entropy,储藏与家务辅助,1,1,0.00915365779002,,
semi,S,mode_entropy,卧室,7,4,0.00544290692297,-0.00964896214897,0.0124934306535
semi,S,mode_entropy,卫浴,1,1,-0.0328695887446,,
semi,S,mode_entropy,厨房与用餐,1,1,-0.0389914318486,,
semi,S,mode_entropy,复合／待定,3,3,0.0042621421788,-0.0103998778999,0.0231863044363
semi,S,mode_entropy,工作与学习,1,1,-0.000352055352055,,
semi,S,mode_entropy,起居与休闲,1,1,0.355360623782,,
semi,S,mode_entropy,通行与连接,3,3,-0.0311152543037,-0.100631578947,0.00397537647538
semi,S,same_topology_median_d,储藏与家务辅助,1,1,0.00128133628509,,
semi,S,same_topology_median_d,卧室,7,4,0.00494211144174,-0.00245628980857,0.00920755310317
semi,S,same_topology_median_d,卫浴,1,1,-0.00332158192921,,
semi,S,same_topology_median_d,厨房与用餐,1,1,-0.00148773324312,,
semi,S,same_topology_median_d,复合／待定,3,3,-0.00141904078443,-0.0039336521332,0.000311562301951
semi,S,same_topology_median_d,工作与学习,1,1,0.00232885089143,,
semi,S,same_topology_median_d,起居与休闲,1,1,0.0174339773257,,
semi,S,same_topology_median_d,通行与连接,3,3,0.00392299674067,-0.00409915114939,0.0174739608963
semi,S,topology_disagreement,储藏与家务辅助,1,1,-0.0071854912764,,
semi,S,topology_disagreement,卧室,7,4,0.00371602239371,-0.0131328856329,0.0110894495303
semi,S,topology_disagreement,卫浴,1,1,-0.0477711038961,,
semi,S,topology_disagreement,厨房与用餐,1,1,-0.0389914318486,,
semi,S,topology_disagreement,复合／待定,3,3,-0.00692121150454,-0.0163268213268,0
semi,S,topology_disagreement,工作与学习,1,1,-0.0078545991046,,
semi,S,topology_disagreement,起居与休闲,1,1,0,,
semi,S,topology_disagreement,通行与连接,3,3,0.00266666666667,0,0.008
semi,T,fixed_future_cov,储藏与家务辅助,1,1,0.0127172540863,,
semi,T,fixed_future_cov,卧室,7,4,-0.00340216694538,-0.0186750076522,0.00047811513882
semi,T,fixed_future_cov,卫浴,1,1,-0.0204153485403,,
semi,T,fixed_future_cov,厨房与用餐,1,1,0.0153251416793,,
semi,T,fixed_future_cov,复合／待定,3,3,0.000106745840873,-0.000144289132384,0.000464526655003
semi,T,fixed_future_cov,工作与学习,1,1,-0.002745193519,,
semi,T,fixed_future_cov,起居与休闲,1,1,-0.0155192525728,,
semi,T,fixed_future_cov,通行与连接,3,3,-0.012354256327,-0.0151877359453,-0.00759495134495
semi,T,mode_entropy,储藏与家务辅助,1,1,-0.0120755787422,,
semi,T,mode_entropy,卧室,7,4,0.000258843060321,-0.00680807430962,0.0197196076931
semi,T,mode_entropy,卫浴,1,1,0.0814556277056,,
semi,T,mode_entropy,厨房与用餐,1,1,-0.0226341328425,,
semi,T,mode_entropy,复合／待定,3,3,0.0030761199412,0,0.00476135416612
semi,T,mode_entropy,工作与学习,1,1,0.00903878969355,,
semi,T,mode_entropy,起居与休闲,1,1,-0.00530893268989,,
semi,T,mode_entropy,通行与连接,3,3,0.031255445092,0.0156507403531,0.0478197067483
semi,T,same_topology_median_d,储藏与家务辅助,1,1,-0.00122318591465,,
semi,T,same_topology_median_d,卧室,7,4,0.000770322384653,-0.000879955858792,0.00532087604616
semi,T,same_topology_median_d,卫浴,1,1,0.0170987080826,,
semi,T,same_topology_median_d,厨房与用餐,1,1,0.00106774406531,,
semi,T,same_topology_median_d,复合／待定,3,3,0.000916836146161,-0.000381304208192,0.00269803075041
semi,T,same_topology_median_d,工作与学习,1,1,0.000486375518719,,
semi,T,same_topology_median_d,起居与休闲,1,1,-0.00298134172814,,
semi,T,same_topology_median_d,通行与连接,3,3,0.0154328872268,-0.00203195486053,0.048641303835
semi,T,topology_disagreement,储藏与家务辅助,1,1,0.00586635586636,,
semi,T,topology_disagreement,卧室,7,4,-0.00445244417223,-0.0142912075299,0.0071717171717
semi,T,topology_disagreement,卫浴,1,1,0.033499000999,,
semi,T,topology_disagreement,厨房与用餐,1,1,-0.0226341328425,,
semi,T,topology_disagreement,复合／待定,3,3,0.0115828982892,-0.00588012076107,0.0406288156288
semi,T,topology_disagreement,工作与学习,1,1,-0.00661996733425,,
semi,T,topology_disagreement,起居与休闲,1,1,0,,
semi,T,topology_disagreement,通行与连接,3,3,0.00127844097541,0,0.00383532292623
