assumption_set_id,variance_source,effect_size,n_tasks,n_workers,n_pairs,n_buildings,analysis_model,power,simulation_replicates,seed
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.02,150,10,5,15,fixed_pair_effects_clustered_simulation,0.924,1000,20412867
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.025,150,10,5,15,fixed_pair_effects_clustered_simulation,0.988,1000,20413367
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.03,150,10,5,15,fixed_pair_effects_clustered_simulation,0.999,1000,20413867
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.04,150,10,5,15,fixed_pair_effects_clustered_simulation,1.0,1000,20414867
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.01,150,14,7,15,fixed_pair_effects_clustered_simulation,0.581,1000,20411887
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.015,150,14,7,15,fixed_pair_effects_clustered_simulation,0.874,1000,20412387
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.02,150,14,7,15,fixed_pair_effects_clustered_simulation,0.986,1000,20412887
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.025,150,14,7,15,fixed_pair_effects_clustered_simulation,1.0,1000,20413387
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.03,150,14,7,15,fixed_pair_effects_clustered_simulation,1.0,1000,20413887
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.04,150,14,7,15,fixed_pair_effects_clustered_simulation,1.0,1000,20414887
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.01,150,16,8,15,fixed_pair_effects_clustered_simulation,0.616,1000,20411897
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.015,150,16,8,15,fixed_pair_effects_clustered_simulation,0.923,1000,20412397
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.02,150,16,8,15,fixed_pair_effects_clustered_simulation,0.996,1000,20412897
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.025,150,16,8,15,fixed_pair_effects_clustered_simulation,1.0,1000,20413397
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.03,150,16,8,15,fixed_pair_effects_clustered_simulation,1.0,1000,20413897
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.04,150,16,8,15,fixed_pair_effects_clustered_simulation,1.0,1000,20414897
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.01,150,18,9,15,fixed_pair_effects_clustered_simulation,0.673,1000,20411907
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.015,150,18,9,15,fixed_pair_effects_clustered_simulation,0.941,1000,20412407
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.02,150,18,9,15,fixed_pair_effects_clustered_simulation,0.996,1000,20412907
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.025,150,18,9,15,fixed_pair_effects_clustered_simulation,1.0,1000,20413407
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.03,150,18,9,15,fixed_pair_effects_clustered_simulation,1.0,1000,20413907
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.04,150,18,9,15,fixed_pair_effects_clustered_simulation,1.0,1000,20414907
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.01,150,20,10,15,fixed_pair_effects_clustered_simulation,0.693,1000,20411917
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.015,150,20,10,15,fixed_pair_effects_clustered_simulation,0.954,1000,20412417
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.02,150,20,10,15,fixed_pair_effects_clustered_simulation,1.0,1000,20412917
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.025,150,20,10,15,fixed_pair_effects_clustered_simulation,0.999,1000,20413417
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.03,150,20,10,15,fixed_pair_effects_clustered_simulation,1.0,1000,20413917
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.04,150,20,10,15,fixed_pair_effects_clustered_simulation,1.0,1000,20414917
