image_id,comparison_status,raw_sequence_equal,ordered_cycle_equal,declared_manifest_status,legacy_linear_gap,legacy_linear_gap_zero,legacy_metric,interpretation
e9zR4mvMWw7_5d711de78dbd400aa4cfd51fc05dfbee,comparable,False,False,ok,,,,coordinate_or_proxy_equality_only_not_image_ambiguity_label
e9zR4mvMWw7_5f9b1db7cc1748c2a71d9924bd1f4fa3,comparable,True,True,ok,,,,coordinate_or_proxy_equality_only_not_image_ambiguity_label
e9zR4mvMWw7_6a856f5cb71645558f9f9ee069f37f1b,comparable,False,False,ok,,,,coordinate_or_proxy_equality_only_not_image_ambiguity_label
e9zR4mvMWw7_83347153d2184d33869626c6c83318f9,comparable,False,False,ok,,,,coordinate_or_proxy_equality_only_not_image_ambiguity_label
e9zR4mvMWw7_8783add8825d4ecf8eb1f2af3c22b8df,comparable,True,True,ok,,,,coordinate_or_proxy_equality_only_not_image_ambiguity_label
e9zR4mvMWw7_891cb55a08dd4aea9ee76656f6b4850d,comparable,False,False,ok,,,,coordinate_or_proxy_equality_only_not_image_ambiguity_label
e9zR4mvMWw7_979426d6a1ea42e29cf5c3bd62eba342,comparable,False,False,ok,,,,coordinate_or_proxy_equality_only_not_image_ambiguity_label
e9zR4mvMWw7_ac03b99e3f3642be80b4d24fde0af03a,comparable,True,True,ok,0.0,True,periodic_linear_image_plane_mask_proxy_1024x512,coordinate_or_proxy_equality_only_not_image_ambiguity_label
e9zR4mvMWw7_b0a7188b1afc4f648bd497af5202d978,comparable,False,False,ok,,,,coordinate_or_proxy_equality_only_not_image_ambiguity_label
e9zR4mvMWw7_c904c55a5d0e420bbd6e4e030b9fe5b4,comparable,False,False,ok,,,,coordinate_or_proxy_equality_only_not_image_ambiguity_label
