task_id,condition,annotator_id,active_time,iou,iou_manual,iou_corner,rmse_px,layout_2d_iou,layout_3d_iou,layout_depth_rmse,layout_delta1,layout_used,layout_gate_reason,pointwise_rmse_px,pointwise_rmse_used,pointwise_best_shift,pointwise_gate_reason,boundary_mse,boundary_rmse_px,pred_n_points,pred_n_pairs,pred_pair_coverage,pred_odd_points,ann_n_points,ann_n_pairs,ann_pair_coverage,ann_odd_points,pairing_warning,pairing_failure_reason,boundary_method_used,consensus_uid,iou_to_consensus,consensus_uid_loo,iou_to_consensus_loo,iou_to_others_median,quality,scope,difficulty,model_issue,tool_issue,scope_missing,is_oos,is_occlusion,is_fail,is_residual,is_normal,n_corners,has_manual_poly,task_scope_n_total,task_scope_n_in_scope,task_scope_n_oos,task_scope_n_unknown,task_scope_oos_rate,task_scope_unknown_rate,task_scope_majority,task_scope_is_mixed,task_scope_has_unknown
493,semi,2,78.599,0.7777833479382942,1.0,0.7777833479382942,0.0,,,,,False,scope_missing,,False,,n_pairs_mismatch,1086.653076171875,32.96442136867982,16,8,1.0,False,8,4,1.0,False,False,,connect,,,,,,fail,,,,,True,,False,False,False,,8,True,3,2,0,1,0.0,0.3333333333333333,in_scope,False,True
493,semi,3,121.73400000000001,0.8051130063025252,,0.8051130063025252,0.0,,,,,False,n_pairs_mismatch,,False,,n_pairs_mismatch,1117.96142578125,33.43593016174741,16,8,1.0,False,8,4,1.0,False,False,,connect,,,,,,corner_duplicate;low_quality;normal;occlusion;overextend_adjacent,normal,occlusion;low_quality,overextend_adjacent;corner_duplicate,,False,False,True,False,False,True,8,False,3,2,0,1,0.0,0.3333333333333333,in_scope,False,True
494,semi,1,19.865000000000002,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,True,,0.0,True,0,,0.0,0.0,8,4,1.0,False,8,4,1.0,False,False,,connect,,,,,,normal,normal,,,,False,False,False,False,False,True,8,True,3,2,0,1,0.0,0.3333333333333333,in_scope,False,True
494,semi,2,2.935,1.0,1.0,1.0,0.0,,,,,False,scope_missing,0.0,True,0,,0.0,0.0,8,4,1.0,False,8,4,1.0,False,False,,connect,,,,,,normal,,,,,True,,False,False,False,,8,True,3,2,0,1,0.0,0.3333333333333333,in_scope,False,True
494,semi,3,33.071,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,True,,0.0,True,0,,0.0,0.0,8,4,1.0,False,8,4,1.0,False,False,,connect,,,,,,normal,normal,,,,False,False,False,False,False,True,8,True,3,2,0,1,0.0,0.3333333333333333,in_scope,False,True
495,semi,1,73.53399999999999,0.9764174348109161,1.0,0.9764174348109161,3.836009869854016,,,,,False,out_of_scope,3.73888058377295,True,0,,7.168294906616211,2.6773671594714483,12,6,1.0,False,12,6,1.0,False,False,,connect,,,,,,oos_split_level,oos_split_level,,,,False,True,False,False,False,False,12,True,3,0,2,1,0.6666666666666666,0.3333333333333333,oos,False,True
495,semi,2,28.64,1.0,1.0,1.0,0.0,,,,,False,scope_missing,0.0,True,0,,0.0,0.0,12,6,1.0,False,12,6,1.0,False,False,,connect,,,,,,split_level,,,,,True,,False,False,False,,12,True,3,0,2,1,0.6666666666666666,0.3333333333333333,oos,False,True
495,semi,3,111.666,0.9700252659053626,1.0,0.9700252659053626,9.7395645331439,,,,,False,out_of_scope,,False,,odd_points,155.6038360595703,12.474126665204675,12,6,1.0,False,11,5,0.9090909090909091,True,True,,connect,,,,,,oos_split_level,oos_split_level,,,,False,True,False,False,False,False,11,True,3,0,2,1,0.6666666666666666,0.3333333333333333,oos,False,True
496,semi,1,39.068,1.0,1.0,1.0,0.0,,,,,False,out_of_scope,0.0,True,0,,0.0,0.0,12,6,1.0,False,12,6,1.0,False,False,,connect,,,,,,oos_split_level,oos_split_level,,,,False,True,False,False,False,False,12,True,3,0,3,0,1.0,0.0,oos,False,False
496,semi,3,90.995,0.8653936170671135,1.0,0.8653936170671135,23.02846739872285,,,,,False,out_of_scope,23.027560762866308,True,0,,784.7962646484375,28.01421540304917,12,6,1.0,False,12,6,1.0,False,False,,connect,,,,,,corner_drift;oos_split_level,oos_split_level,,corner_drift,,False,True,False,False,False,False,12,True,3,0,3,0,1.0,0.0,oos,False,False
496,semi,2,66.204,0.862920431382895,,0.862920431382895,27.102054378652557,,,,,False,out_of_scope,27.09651171766626,True,0,,992.1913452148438,31.499068957904832,12,6,1.0,False,12,6,1.0,False,False,,connect,,,,,,low_texture;occlusion;oos_split_level,oos_split_level,occlusion;low_texture,,,False,True,True,False,False,False,12,False,3,0,3,0,1.0,0.0,oos,False,False
497,semi,1,13.202,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,True,,0.0,True,0,,0.0,0.0,8,4,1.0,False,8,4,1.0,False,False,,connect,1,1.0,3,1.0,1.0,normal,normal,,,,False,False,False,False,False,True,8,True,3,3,0,0,0.0,0.0,in_scope,False,False
497,semi,3,30.048,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,True,,0.0,True,0,,0.0,0.0,8,4,1.0,False,8,4,1.0,False,False,,connect,1,1.0,1,1.0,1.0,normal;occlusion,normal,occlusion,,,False,False,True,False,False,True,8,True,3,3,0,0,0.0,0.0,in_scope,False,False
497,semi,2,26.574,1.0,1.0,1.0,2.3649028988701315,0.9243292340026275,0.9130691657998503,0.05998512730002403,1.0,True,,2.1742141531684247,True,0,,4.491911888122559,2.119413099922372,8,4,1.0,False,8,4,1.0,False,False,,connect,1,1.0,1,1.0,1.0,normal;occlusion,normal,occlusion,,,False,False,True,False,False,True,8,True,3,3,0,0,0.0,0.0,in_scope,False,False
498,semi,3,76.731,0.9905036585529433,1.0,0.9905036585529433,19.470713525250105,,,,,False,out_of_scope,,False,,n_pairs_mismatch,1396.952880859375,37.37583284502668,16,8,1.0,False,14,7,1.0,False,False,,connect,,,,,,oos_split_level;overextend_adjacent,oos_split_level,,overextend_adjacent,,False,True,False,False,False,False,14,True,3,1,2,0,0.6666666666666666,0.0,oos,True,False
498,semi,2,56.963,0.6394223538380952,,0.6394223538380952,0.0,,,,,False,out_of_scope,,False,,n_pairs_mismatch,114.72744750976562,10.711089930990479,16,8,1.0,False,12,6,1.0,False,False,,connect,,,,,,occlusion;oos_split_level;overextend_adjacent,oos_split_level,occlusion,overextend_adjacent,,False,True,True,False,False,False,12,False,3,1,2,0,0.6666666666666666,0.0,oos,True,False
498,semi,4,26.076,1.0,,1.0,0.0,1.0,1.0,0.0,1.0,True,,0.0,True,0,,0.0,0.0,16,8,1.0,False,16,8,1.0,False,False,,connect,,,,,,normal,normal,,,,False,False,False,False,False,True,16,False,3,1,2,0,0.6666666666666666,0.0,oos,True,False
499,semi,1,42.12,0.9687300574345884,1.0,0.9687300574345884,0.0,,,,,False,n_pairs_mismatch,,False,,n_pairs_mismatch,3.775606632232666,1.943092028760518,12,6,1.0,False,10,5,1.0,False,False,,connect,,,,,,normal,normal,,,,False,False,False,False,False,True,10,True,4,4,0,0,0.0,0.0,in_scope,False,False
499,semi,3,127.274,0.8439403608516564,,0.8439403608516564,7.249818756355229,,,,,False,n_pairs_mismatch,,False,,n_pairs_mismatch,13.107479095458984,3.6204252644487753,12,6,1.0,False,8,4,1.0,False,False,,connect,,,,,,corner_duplicate;normal;occlusion;overextend_adjacent,normal,occlusion,overextend_adjacent;corner_duplicate,,False,False,True,False,False,True,8,False,4,4,0,0,0.0,0.0,in_scope,False,False
499,semi,2,54.897999999999996,0.8439403608516564,,0.8439403608516564,0.0,,,,,False,n_pairs_mismatch,,False,,n_pairs_mismatch,2.9234514236450195,1.7098103472739365,12,6,1.0,False,8,4,1.0,False,False,,connect,,,,,,corner_duplicate;normal;overextend_adjacent,normal,,overextend_adjacent;corner_duplicate,,False,False,False,False,False,True,8,False,4,4,0,0,0.0,0.0,in_scope,False,False
499,semi,4,18.817,0.9220578210928426,1.0,0.9220578210928426,34.351957746048384,0.9916658079815964,0.96211101194799,0.10952188074588776,0.9809589385986328,True,,34.346886586182194,True,0,,116.31521606445312,10.784953224954345,12,6,1.0,False,12,6,1.0,False,False,,connect,,,,,,normal,normal,,,,False,False,False,False,False,True,12,True,4,4,0,0,0.0,0.0,in_scope,False,False
