image_id,code,condition,building,N_observed,N_geometry,N_unavailable,development_image,method,omitted_worker,ARI,changed_pairs,total_pairs
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va-04,manual,7y3sRwLe3Va,24,24,0,False,A3_cyclic_cut08,W032,1.0,0,253
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va-04,manual,7y3sRwLe3Va,24,24,0,False,A3_cyclic_cut08,W033,1.0,0,253
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va-04,manual,7y3sRwLe3Va,24,24,0,False,A3_cyclic_cut08,W034,0.7200052079942713,34,253
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va-04,manual,7y3sRwLe3Va,24,24,0,False,A3_cyclic_cut08,W035,0.4155677066580894,79,253
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va-04,manual,7y3sRwLe3Va,24,24,0,False,A3_cyclic_cut08,W036,1.0,0,253
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va-04,manual,7y3sRwLe3Va,24,24,0,False,A3_cyclic_cut08,W037,1.0,0,253
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,7y3sRwLe3Va-08,oos,7y3sRwLe3Va,24,24,0,True,A0_legacy,W001,1.0,0,253
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,7y3sRwLe3Va-08,oos,7y3sRwLe3Va,24,24,0,True,A0_legacy,W002,1.0,0,253
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,7y3sRwLe3Va-08,oos,7y3sRwLe3Va,24,24,0,True,A0_legacy,W006,1.0,0,253
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,7y3sRwLe3Va-08,oos,7y3sRwLe3Va,24,24,0,True,A0_legacy,W008,0.6907090464547677,12,253
