relative_path,backup_absolute_path,size_bytes,original_sha256,backup_sha256,backup_verified,git_rm_cached_executed,local_file_still_exists,action_status,notes
active_logs/new_server/active_times_2026-06-15.jsonl,D:/Work/HOHONET_ARCHIVE/active_logs_backup_20260630/active_logs/new_server/active_times_2026-06-15.jsonl,8934,7e25c38e079a71f6e02a5cff812b454e4acceca54d351de56deb33d794e96c5d,7e25c38e079a71f6e02a5cff812b454e4acceca54d351de56deb33d794e96c5d,true,true,true,git_rm_cached_done,
active_logs/new_server/active_times_2026-06-16.jsonl,D:/Work/HOHONET_ARCHIVE/active_logs_backup_20260630/active_logs/new_server/active_times_2026-06-16.jsonl,486143,6d8369a41ce04956de8748f608f4194cbd9521ddc0c1e62940cb63839252c37d,6d8369a41ce04956de8748f608f4194cbd9521ddc0c1e62940cb63839252c37d,true,true,true,git_rm_cached_done,
active_logs/new_server/active_times_2026-06-17.jsonl,D:/Work/HOHONET_ARCHIVE/active_logs_backup_20260630/active_logs/new_server/active_times_2026-06-17.jsonl,1048268,e2b3f52e55a391ae834d3432f9de82a1ff9659a6744515447494ca8ce028b8ae,e2b3f52e55a391ae834d3432f9de82a1ff9659a6744515447494ca8ce028b8ae,true,true,true,git_rm_cached_done,
active_logs/new_server/active_times_2026-06-18.jsonl,D:/Work/HOHONET_ARCHIVE/active_logs_backup_20260630/active_logs/new_server/active_times_2026-06-18.jsonl,40956,67a17c3db5e40d775679ad0d31f0fcde11ac7b751b54c6860cb03e7b56670e56,67a17c3db5e40d775679ad0d31f0fcde11ac7b751b54c6860cb03e7b56670e56,true,true,true,git_rm_cached_done,
active_logs/new_server/active_times_2026-06-20.jsonl,D:/Work/HOHONET_ARCHIVE/active_logs_backup_20260630/active_logs/new_server/active_times_2026-06-20.jsonl,421852,d221aeae9901fdf39ad1df8a88873b3ed6022e980cdca25cee01de48eed09109,d221aeae9901fdf39ad1df8a88873b3ed6022e980cdca25cee01de48eed09109,true,true,true,git_rm_cached_done,
active_logs/new_server/active_times_2026-06-21.jsonl,D:/Work/HOHONET_ARCHIVE/active_logs_backup_20260630/active_logs/new_server/active_times_2026-06-21.jsonl,599756,411733b41862b6fe8da5d167c134be9a6eb3abbb14822880cdefef887618963d,411733b41862b6fe8da5d167c134be9a6eb3abbb14822880cdefef887618963d,true,true,true,git_rm_cached_done,
active_logs/new_server/active_times_2026-06-22.jsonl,D:/Work/HOHONET_ARCHIVE/active_logs_backup_20260630/active_logs/new_server/active_times_2026-06-22.jsonl,458053,ed20d40ad5d23442dad6d8306f54256842fd8077b5400e55993437abbd1ceacb,ed20d40ad5d23442dad6d8306f54256842fd8077b5400e55993437abbd1ceacb,true,true,true,git_rm_cached_done,
active_logs/new_server/active_times_2026-06-23.jsonl,D:/Work/HOHONET_ARCHIVE/active_logs_backup_20260630/active_logs/new_server/active_times_2026-06-23.jsonl,647103,fa2229cf848c6413e6d8a004fe2c5e42b918fb300e579c3397695563a7ddb63a,fa2229cf848c6413e6d8a004fe2c5e42b918fb300e579c3397695563a7ddb63a,true,true,true,git_rm_cached_done,
active_logs/new_server/active_times_2026-06-24.jsonl,D:/Work/HOHONET_ARCHIVE/active_logs_backup_20260630/active_logs/new_server/active_times_2026-06-24.jsonl,138440,9d59d6de25c2de13e4f97df52984032593eba56bdc8606b78311066182543c02,9d59d6de25c2de13e4f97df52984032593eba56bdc8606b78311066182543c02,true,true,true,git_rm_cached_done,
active_logs/new_server/active_times_2026-06-25.jsonl,D:/Work/HOHONET_ARCHIVE/active_logs_backup_20260630/active_logs/new_server/active_times_2026-06-25.jsonl,230487,0f0eedf02fa2e292b4b4959b678330d131d72ea0cee9e33c767f0626e0c106ad,0f0eedf02fa2e292b4b4959b678330d131d72ea0cee9e33c767f0626e0c106ad,true,true,true,git_rm_cached_done,
active_logs/new_server/active_times_2026-06-26.jsonl,D:/Work/HOHONET_ARCHIVE/active_logs_backup_20260630/active_logs/new_server/active_times_2026-06-26.jsonl,9019,6ea69d032102f5a1864064147f7aed0cce658be00119ea105343b498caa63616,6ea69d032102f5a1864064147f7aed0cce658be00119ea105343b498caa63616,true,true,true,git_rm_cached_done,
