image_id,code,condition,N,method,clusters,supported,singletons,singleton_mass,largest_share,entropy_bits,sizes
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,B6ByNegPMKs-10,semi,24,OSPA30_c3_gate0,7,5,2,0.08333333333333333,0.5416666666666666,2.1324373408045867,13;3;2;2;2;1;1
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,B6ByNegPMKs-10,semi,24,OSPA30_c6_gate0,4,4,0,0.0,0.7083333333333334,1.3248893422453545,17;3;2;2
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,B6ByNegPMKs-10,semi,24,OSPA30_c9_gate0,2,2,0,0.0,0.7916666666666666,0.7382848661434506,19;5
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,B6ByNegPMKs-10,semi,24,OSPA30_c3_gate1,7,5,2,0.08333333333333333,0.5416666666666666,2.1324373408045867,13;3;2;2;2;1;1
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,B6ByNegPMKs-10,semi,24,OSPA30_c6_gate1,4,4,0,0.0,0.7083333333333334,1.3248893422453545,17;3;2;2
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,B6ByNegPMKs-10,semi,24,OSPA30_c9_gate1,3,3,0,0.0,0.7916666666666666,0.9405662399881731,19;3;2
B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs-11,manual,24,OSPA30_c3_gate0,8,4,4,0.16666666666666666,0.4166666666666667,2.3879185026711327,10;6;2;2;1;1;1;1
B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs-11,manual,24,OSPA30_c6_gate0,3,2,1,0.041666666666666664,0.625,1.1431558784658322,15;8;1
B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs-11,manual,24,OSPA30_c9_gate0,3,2,1,0.041666666666666664,0.625,1.1431558784658322,15;8;1
B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs-11,manual,24,OSPA30_c3_gate1,8,4,4,0.16666666666666666,0.4166666666666667,2.3879185026711327,10;6;2;2;1;1;1;1
B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs-11,manual,24,OSPA30_c6_gate1,3,2,1,0.041666666666666664,0.625,1.1431558784658322,15;8;1
B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs-11,manual,24,OSPA30_c9_gate1,3,2,1,0.041666666666666664,0.625,1.1431558784658322,15;8;1
B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,B6ByNegPMKs-18,manual,5,OSPA30_c3_gate0,2,1,1,0.2,0.8,0.7219280948873623,4;1
B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,B6ByNegPMKs-18,manual,5,OSPA30_c6_gate0,2,1,1,0.2,0.8,0.7219280948873623,4;1
B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,B6ByNegPMKs-18,manual,5,OSPA30_c9_gate0,2,1,1,0.2,0.8,0.7219280948873623,4;1
B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,B6ByNegPMKs-18,manual,5,OSPA30_c3_gate1,2,1,1,0.2,0.8,0.7219280948873623,4;1
B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,B6ByNegPMKs-18,manual,5,OSPA30_c6_gate1,2,1,1,0.2,0.8,0.7219280948873623,4;1
B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,B6ByNegPMKs-18,manual,5,OSPA30_c9_gate1,2,1,1,0.2,0.8,0.7219280948873623,4;1
B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,B6ByNegPMKs-18,semi,4,OSPA30_c3_gate0,2,1,1,0.25,0.75,0.8112781244591328,3;1
B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,B6ByNegPMKs-18,semi,4,OSPA30_c6_gate0,1,1,0,0.0,1.0,-0.0,4
B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,B6ByNegPMKs-18,semi,4,OSPA30_c9_gate0,1,1,0,0.0,1.0,-0.0,4
B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,B6ByNegPMKs-18,semi,4,OSPA30_c3_gate1,2,1,1,0.25,0.75,0.8112781244591328,3;1
B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,B6ByNegPMKs-18,semi,4,OSPA30_c6_gate1,1,1,0,0.0,1.0,-0.0,4
B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,B6ByNegPMKs-18,semi,4,OSPA30_c9_gate1,1,1,0,0.0,1.0,-0.0,4
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,B6ByNegPMKs-21,manual,5,OSPA30_c3_gate0,3,1,2,0.4,0.6,1.3709505944546687,3;1;1
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,B6ByNegPMKs-21,manual,5,OSPA30_c6_gate0,1,1,0,0.0,1.0,-0.0,5
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,B6ByNegPMKs-21,manual,5,OSPA30_c9_gate0,1,1,0,0.0,1.0,-0.0,5
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,B6ByNegPMKs-21,manual,5,OSPA30_c3_gate1,3,1,2,0.4,0.6,1.3709505944546687,3;1;1
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,B6ByNegPMKs-21,manual,5,OSPA30_c6_gate1,1,1,0,0.0,1.0,-0.0,5
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,B6ByNegPMKs-21,manual,5,OSPA30_c9_gate1,1,1,0,0.0,1.0,-0.0,5
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,B6ByNegPMKs-21,semi,4,OSPA30_c3_gate0,3,1,2,0.5,0.5,1.5,2;1;1
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,B6ByNegPMKs-21,semi,4,OSPA30_c6_gate0,2,1,1,0.25,0.75,0.8112781244591328,3;1
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,B6ByNegPMKs-21,semi,4,OSPA30_c9_gate0,1,1,0,0.0,1.0,-0.0,4
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,B6ByNegPMKs-21,semi,4,OSPA30_c3_gate1,3,1,2,0.5,0.5,1.5,2;1;1
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,B6ByNegPMKs-21,semi,4,OSPA30_c6_gate1,2,1,1,0.25,0.75,0.8112781244591328,3;1
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,B6ByNegPMKs-21,semi,4,OSPA30_c9_gate1,2,1,1,0.25,0.75,0.8112781244591328,3;1
B6ByNegPMKs_75327de9719945aa8b893a6404667884,B6ByNegPMKs-22,semi,24,OSPA30_c3_gate0,3,3,0,0.0,0.6666666666666666,1.188721875540867,16;6;2
B6ByNegPMKs_75327de9719945aa8b893a6404667884,B6ByNegPMKs-22,semi,24,OSPA30_c6_gate0,1,1,0,0.0,1.0,-0.0,24
B6ByNegPMKs_75327de9719945aa8b893a6404667884,B6ByNegPMKs-22,semi,24,OSPA30_c9_gate0,1,1,0,0.0,1.0,-0.0,24
B6ByNegPMKs_75327de9719945aa8b893a6404667884,B6ByNegPMKs-22,semi,24,OSPA30_c3_gate1,3,3,0,0.0,0.6666666666666666,1.188721875540867,16;6;2
