analysis_role,outer_fold,building_id,base_task_id,condition,method,selected_worker_id,status,public_gt_quality,delivery_adjusted_quality,structurally_valid,corner_count,a0_reconstruction_match,severe_geometric_error_status,topology_error_status,training_buildings_excluded_test_building,inner_tuning,gt_used_for_selection
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:B6ByNegPMKs,B6ByNegPMKs,B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,semi,A0_current_largest_cluster_medoid,2,estimated,1.0,1.0,True,4,True,not_identifiable_no_frozen_severe_threshold,not_identifiable_no_frozen_reference_topology_field,True,none_fixed_lexicographic_rules,False
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:B6ByNegPMKs,B6ByNegPMKs,B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,semi,A1_global_medoid_over_all_legal_submissions,2,estimated,1.0,1.0,True,4,True,not_identifiable_no_frozen_severe_threshold,not_identifiable_no_frozen_reference_topology_field,True,none_fixed_lexicographic_rules,False
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:B6ByNegPMKs,B6ByNegPMKs,B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,semi,A2_cross_fitted_worker_quality_weighted_medoid,13,estimated,1.0,1.0,True,4,True,not_identifiable_no_frozen_severe_threshold,not_identifiable_no_frozen_reference_topology_field,True,none_fixed_lexicographic_rules,False
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:B6ByNegPMKs,B6ByNegPMKs,B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,semi,A3_cluster_support_plus_worker_quality_selector,2,estimated,1.0,1.0,True,4,True,not_identifiable_no_frozen_severe_threshold,not_identifiable_no_frozen_reference_topology_field,True,none_fixed_lexicographic_rules,False
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:B6ByNegPMKs,B6ByNegPMKs,B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,semi,A4_image_evidence_weighted_cluster_selector,,source_absent_no_frozen_preoutcome_image_evidence,,,,,True,not_identifiable_no_frozen_severe_threshold,not_identifiable_no_frozen_reference_topology_field,True,none_fixed_lexicographic_rules,False
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:B6ByNegPMKs,B6ByNegPMKs,B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,semi,A5_topology_preserving_variable_corner_selector,2,estimated,1.0,1.0,True,4,True,not_identifiable_no_frozen_severe_threshold,not_identifiable_no_frozen_reference_topology_field,True,none_fixed_lexicographic_rules,False
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:B6ByNegPMKs,B6ByNegPMKs,B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,semi,A_oracle_evaluator_only,,not_evaluable_reference,,,,,True,not_identifiable_no_frozen_severe_threshold,not_identifiable_no_frozen_reference_topology_field,True,none_fixed_lexicographic_rules,True
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:B6ByNegPMKs,B6ByNegPMKs,B6ByNegPMKs_7018ca302c584d0d85024187f3568460,manual,A0_current_largest_cluster_medoid,36,estimated,0.9772891002806026,0.9772891002806026,True,4,True,not_identifiable_no_frozen_severe_threshold,not_identifiable_no_frozen_reference_topology_field,True,none_fixed_lexicographic_rules,False
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:B6ByNegPMKs,B6ByNegPMKs,B6ByNegPMKs_7018ca302c584d0d85024187f3568460,manual,A1_global_medoid_over_all_legal_submissions,36,estimated,0.9772891002806026,0.9772891002806026,True,4,True,not_identifiable_no_frozen_severe_threshold,not_identifiable_no_frozen_reference_topology_field,True,none_fixed_lexicographic_rules,False
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:B6ByNegPMKs,B6ByNegPMKs,B6ByNegPMKs_7018ca302c584d0d85024187f3568460,manual,A2_cross_fitted_worker_quality_weighted_medoid,35,estimated,0.9595101880877743,0.9595101880877743,True,4,True,not_identifiable_no_frozen_severe_threshold,not_identifiable_no_frozen_reference_topology_field,True,none_fixed_lexicographic_rules,False
