cohort,model,groups,support,attempts,available,no_singletons,all_groups_represented,shared_workers_median,ari_median
all26,S,9,diagnostic_3rows_2buildings,100,69,0,69,26.0,0.10932283621505805
all26,S,9,primary_6rows_3buildings,100,0,0,0,0.0,
all26,S,10,diagnostic_3rows_2buildings,100,69,0,69,26.0,0.09404091937095672
all26,S,10,primary_6rows_3buildings,100,0,0,0,0.0,
all26,S,11,diagnostic_3rows_2buildings,100,69,0,69,26.0,0.0851063829787234
all26,S,11,primary_6rows_3buildings,100,0,0,0,0.0,
all26,S,12,diagnostic_3rows_2buildings,100,69,0,69,26.0,0.09048507462686568
all26,S,12,primary_6rows_3buildings,100,0,0,0,0.0,
all26,S,13,diagnostic_3rows_2buildings,100,69,0,69,26.0,0.0906547285954113
all26,S,13,primary_6rows_3buildings,100,0,0,0,0.0,
all26,SB,2,diagnostic_3rows_2buildings,100,69,69,69,26.0,-0.006884681583476739
all26,SB,2,primary_6rows_3buildings,100,0,0,0,0.0,
all26,SB,3,diagnostic_3rows_2buildings,100,69,68,69,26.0,0.14967295113505197
all26,SB,3,primary_6rows_3buildings,100,0,0,0,0.0,
all26,SB,4,diagnostic_3rows_2buildings,100,69,57,69,26.0,0.1685213303658714
all26,SB,4,primary_6rows_3buildings,100,0,0,0,0.0,
all26,SB,5,diagnostic_3rows_2buildings,100,69,33,69,26.0,0.20372836218375498
all26,SB,5,primary_6rows_3buildings,100,0,0,0,0.0,
all26,SB,6,diagnostic_3rows_2buildings,100,69,8,69,26.0,0.19593345656192235
all26,SB,6,primary_6rows_3buildings,100,0,0,0,0.0,
all26,SB,7,diagnostic_3rows_2buildings,100,69,2,69,26.0,0.18124401234786927
all26,SB,7,primary_6rows_3buildings,100,0,0,0,0.0,
all26,SB,8,diagnostic_3rows_2buildings,100,69,0,69,26.0,0.18142268355976185
all26,SB,8,primary_6rows_3buildings,100,0,0,0,0.0,
all26,SB,9,diagnostic_3rows_2buildings,100,69,0,69,26.0,0.18480695153632537
all26,SB,9,primary_6rows_3buildings,100,0,0,0,0.0,
all26,SB,10,diagnostic_3rows_2buildings,100,69,0,69,26.0,0.16294349540078842
all26,SB,10,primary_6rows_3buildings,100,0,0,0,0.0,
all26,SB,11,diagnostic_3rows_2buildings,100,69,0,69,26.0,0.15689529936702293
all26,SB,11,primary_6rows_3buildings,100,0,0,0,0.0,
all26,SB,12,diagnostic_3rows_2buildings,100,69,0,69,26.0,0.14521040974529345
all26,SB,12,primary_6rows_3buildings,100,0,0,0,0.0,
all26,SB,13,diagnostic_3rows_2buildings,100,69,0,69,26.0,0.13455513784461154
all26,SB,13,primary_6rows_3buildings,100,0,0,0,0.0,
all26,T,2,diagnostic_3rows_2buildings,100,100,100,100,24.0,0.6809583858764187
all26,T,2,primary_6rows_3buildings,100,100,100,100,22.0,0.8178438661710037
all26,T,3,diagnostic_3rows_2buildings,100,100,45,100,24.0,0.4845729132835335
all26,T,3,primary_6rows_3buildings,100,100,40,100,22.0,0.5028537830551254
all26,T,4,diagnostic_3rows_2buildings,100,100,1,100,24.0,0.45605455367996833
all26,T,4,primary_6rows_3buildings,100,100,1,100,22.0,0.5232972576798729
all26,T,5,diagnostic_3rows_2buildings,100,100,0,100,24.0,0.42985548466005297
all26,T,5,primary_6rows_3buildings,100,100,0,100,22.0,0.4638363150733732
all26,T,6,diagnostic_3rows_2buildings,100,100,0,100,24.0,0.3890751057921834
all26,T,6,primary_6rows_3buildings,100,100,0,100,22.0,0.4148170286631021
all26,T,7,diagnostic_3rows_2buildings,100,100,0,100,24.0,0.37634983793395715
all26,T,7,primary_6rows_3buildings,100,100,0,99,22.0,0.3896976930753126
all26,T,8,diagnostic_3rows_2buildings,100,100,0,100,24.0,0.34398569901776177
all26,T,8,primary_6rows_3buildings,100,100,0,99,22.0,0.38363054399489865
all26,T,9,diagnostic_3rows_2buildings,100,100,0,100,24.0,0.36374433739530154
all26,T,9,primary_6rows_3buildings,100,100,0,98,22.0,0.37216074548631334
all26,T,10,diagnostic_3rows_2buildings,100,100,0,99,24.0,0.31727756892230574
all26,T,10,primary_6rows_3buildings,100,100,0,98,22.0,0.3136007756045368
all26,T,11,diagnostic_3rows_2buildings,100,100,0,99,24.0,0.26416984538531496
all26,T,11,primary_6rows_3buildings,100,100,0,93,22.0,0.27456200008171583
all26,T,12,diagnostic_3rows_2buildings,100,100,0,98,24.0,0.23756902353745118
all26,T,12,primary_6rows_3buildings,100,100,0,85,22.0,0.22742474916387959
all26,TB,2,diagnostic_3rows_2buildings,100,100,100,100,24.0,0.22612804403136194
all26,TB,2,primary_6rows_3buildings,100,90,89,90,22.0,0.1791530944625408
all26,TB,3,diagnostic_3rows_2buildings,100,100,98,100,24.0,0.32425329890569804
all26,TB,3,primary_6rows_3buildings,100,90,82,87,22.0,0.3931818801361553
all26,TB,4,diagnostic_3rows_2buildings,100,100,78,100,24.0,0.47248142465805076
all26,TB,4,primary_6rows_3buildings,100,89,58,83,22.0,0.513886462882096
all26,TB,5,diagnostic_3rows_2buildings,100,100,3,100,24.0,0.4739436000420417
all26,TB,5,primary_6rows_3buildings,100,88,4,65,22.0,0.5099907755925587
all26,TB,6,diagnostic_3rows_2buildings,100,100,0,100,24.0,0.40768992253535213
all26,TB,6,primary_6rows_3buildings,100,88,0,62,22.0,0.41787062391616414
all26,TB,7,diagnostic_3rows_2buildings,100,100,0,100,24.0,0.378208329138899
all26,TB,7,primary_6rows_3buildings,100,88,0,55,22.0,0.37613641764195427
all26,TB,8,diagnostic_3rows_2buildings,100,100,0,99,24.0,0.3935252737116466
all26,TB,8,primary_6rows_3buildings,100,86,0,52,22.0,0.3942383810286467
all26,TB,9,diagnostic_3rows_2buildings,100,100,0,99,24.0,0.36359102829343354
all26,TB,9,primary_6rows_3buildings,100,86,0,52,22.0,0.3599850256464494
all26,TB,10,diagnostic_3rows_2buildings,100,100,0,99,24.0,0.3308224868457491
all26,TB,10,primary_6rows_3buildings,100,81,0,46,22.0,0.3280398198625266
all26,TB,11,diagnostic_3rows_2buildings,100,100,0,99,24.0,0.2847171093224628
all26,TB,11,primary_6rows_3buildings,100,79,0,41,22.0,0.3060064935064935
all26,TB,12,diagnostic_3rows_2buildings,100,100,0,99,24.0,0.2459016393442623
all26,TB,12,primary_6rows_3buildings,100,78,0,41,22.0,0.28782326627352955
all26,TS,2,diagnostic_3rows_2buildings,100,69,69,69,24.0,0.42016806722689076
all26,TS,2,primary_6rows_3buildings,100,0,0,0,0.0,
all26,TS,3,diagnostic_3rows_2buildings,100,69,56,69,24.0,0.46968403074295473
all26,TS,3,primary_6rows_3buildings,100,0,0,0,0.0,
all26,TS,4,diagnostic_3rows_2buildings,100,69,25,69,24.0,0.413433908045977
all26,TS,4,primary_6rows_3buildings,100,0,0,0,0.0,
all26,TS,5,diagnostic_3rows_2buildings,100,69,14,69,24.0,0.3110935023771791
all26,TS,5,primary_6rows_3buildings,100,0,0,0,0.0,
all26,TS,6,diagnostic_3rows_2buildings,100,69,1,69,24.0,0.3053215533182658
all26,TS,6,primary_6rows_3buildings,100,0,0,0,0.0,
all26,TS,7,diagnostic_3rows_2buildings,100,69,0,69,24.0,0.2990654205607477
