cohort,model,groups,group,support,attempts,available,both_at_least_2,jaccard_median,chance_jaccard_median,adjusted_jaccard_median
all26,Q,6,6,diagnostic_3rows_2buildings,100,100,0,1.0,0.04,1.0
all26,Q,6,6,primary_6rows_3buildings,100,100,0,1.0,0.04,1.0
all26,Q,7,1,diagnostic_3rows_2buildings,100,100,8,0.5,0.04,0.4791666666666667
all26,Q,7,1,primary_6rows_3buildings,100,100,7,0.5,0.04,0.4791666666666667
all26,Q,7,2,diagnostic_3rows_2buildings,100,100,72,0.16666666666666666,0.066,0.10501193317422433
all26,Q,7,2,primary_6rows_3buildings,100,100,65,0.16666666666666666,0.06383333333333334,0.10501193317422433
all26,Q,7,3,diagnostic_3rows_2buildings,100,100,99,0.2,0.10891586674195369,0.06872241536529138
all26,Q,7,3,primary_6rows_3buildings,100,100,97,0.17424242424242425,0.10745906267645398,0.07990883055314459
all26,Q,7,4,diagnostic_3rows_2buildings,100,100,100,0.2,0.14096504286227607,0.04010888358095331
all26,Q,7,4,primary_6rows_3buildings,100,100,100,0.18181818181818182,0.14096504286227607,0.038972277619601266
all26,Q,7,5,diagnostic_3rows_2buildings,100,100,96,0.18181818181818182,0.10368686868686869,0.08345962430517094
all26,Q,7,5,primary_6rows_3buildings,100,100,95,0.2,0.11037267080745342,0.08613392343359227
all26,Q,7,6,diagnostic_3rows_2buildings,100,100,35,0.4,0.04,0.3556085918854415
all26,Q,7,6,primary_6rows_3buildings,100,100,48,0.45,0.04,0.407521321419829
all26,Q,7,7,diagnostic_3rows_2buildings,100,100,0,1.0,0.04,1.0
all26,Q,7,7,primary_6rows_3buildings,100,100,0,1.0,0.04,1.0
all26,Q,8,1,diagnostic_3rows_2buildings,100,100,2,0.5,0.04,0.4791666666666667
all26,Q,8,1,primary_6rows_3buildings,100,100,2,0.5,0.04,0.4791666666666667
all26,Q,8,2,diagnostic_3rows_2buildings,100,100,46,0.18333333333333335,0.04,0.12424044196184451
all26,Q,8,2,primary_6rows_3buildings,100,100,41,0.16666666666666666,0.04,0.10501193317422433
all26,Q,8,3,diagnostic_3rows_2buildings,100,100,92,0.2,0.08734368530020703,0.11572401563732242
all26,Q,8,3,primary_6rows_3buildings,100,100,91,0.2,0.0891901938641069,0.09712183207585157
all26,Q,8,4,diagnostic_3rows_2buildings,100,100,99,0.14285714285714285,0.10814982119329947,0.057462890447135956
