condition,metric,partition,nominal_cut,k,images,buildings,next_uncovered,fixed_expected_clusters,fixed_unseen_pool_mass,minority_unseen_mass
manual,sphere,representative,12,17,45,14,0.18371778700153985,5.1414574131126383,0.047321727434798455,0.0034284363496432904
manual,sphere,representative,12,18,45,14,0.17953149782669234,5.3261538893346678,0.038555533081954349,0.0021624644259989711
oos,image,complete,6,1,9,6,0.8865100278143756,0.99999999999999978,0.88761333403346621,0.41853988716189405
oos,image,complete,6,2,9,6,0.79757983562331392,1.9269872639437859,0.78991036706065065,0.36832221606953808
oos,image,complete,6,3,9,6,0.72696844218583356,2.7902315076228121,0.70449516089875264,0.32266894914579219
oos,image,complete,6,4,9,6,0.6701237337965027,3.5976033628207529,0.62938378367647418,0.28128302331988531
oos,image,complete,6,5,9,6,0.62370930620358545,4.3557874979499704,0.56293697621726757,0.24387958996300205
oos,image,complete,6,6,9,6,0.58526524510057509,5.0704668456384709,0.50380220866366521,0.21018601488828331
oos,image,complete,6,7,9,6,0.55296580354629887,5.7464808265723617,0.45086417761745817,0.17994187835082606
oos,image,complete,6,8,9,6,0.52544649770162399,6.3879603078239047,0.40320284442873622,0.15289897504768329
oos,image,complete,6,9,9,6,0.50168053549228686,6.9984418828206678,0.36005816562506854,0.12882131411786421
oos,image,complete,6,10,9,6,0.48089011403387499,7.5809639090363294,0.32080071683035299,0.107485119142334
oos,image,complete,6,11,9,6,0.4624823173416524,8.1381465884090733,0.28490746188112165,0.08867882814401401
oos,image,complete,6,12,9,6,0.44600241451264466,8.6722582244186768,0.25194196920634737,0.07220309358778168
oos,image,complete,6,13,9,6,0.43109955421504753,9.1852696386785766,0.22153842789504707,0.057870782380470463
oos,image,complete,6,14,9,6,0.41750138686637539,9.6788985788245459,0.19338886623424206,0.045506975870870013
oos,image,complete,6,15,9,6,0.40499519657773347,10.154645798406737,0.1672330258580822,0.034948969849725994
oos,image,complete,6,16,9,6,0.3934138317971943,10.61382433841715,0.14285039500720573,0.026046274549740209
oos,image,complete,6,17,9,6,0.38262519679377038,11.057583389009782,0.12005395475565662,0.018660614645570537
oos,image,complete,6,18,9,6,0.37252438848548686,11.486927958895922,0.098685242420940372,0.012665929253830954
oos,image,complete,9,1,9,6,0.77382520860781723,0.99999999999999978,0.82763527153492489,0.32431620341198159
oos,image,complete,9,2,9,6,0.66636604136604138,1.8643317230273755,0.69771106889096801,0.2837011948936965
oos,image,complete,9,3,9,6,0.5975280757889454,2.6267645398080184,0.59751347074125905,0.24702602585400316
oos,image,complete,9,4,9,6,0.54741302641760314,3.311439446222054,0.51823239976201529,0.21401132124194505
oos,image,complete,9,5,9,6,0.50863897593493324,3.9355942282143661,0.45382184392347141,0.18438992044852159
oos,image,complete,9,6,9,6,0.47746581971129909,4.5115800590628972,0.4001602155486097,0.15790687730668826
oos,image,complete,9,7,9,6,0.45169175603116912,5.0483283841239164,0.35444316951708305,0.13431946009135676
oos,image,complete,9,8,9,6,0.42991446033297787,5.5523983950420881,0.31475341195303702,0.11339715151939472
oos,image,complete,9,9,9,6,0.41119149853501719,6.0287104964029847,0.27976267242376812,0.094921648749626067
