method,baseline,algorithm,condition,target,design,n_images,n_buildings,method_MAE,target_only_MAE,delta_MAE,CI_low,CI_high
DX_target_plus_aux_feedback,DX_target_feedback_matched,knn,manual,scope_non_normal_rate,leave_building,69,18,0.289755653574,0.248174753203,0.041580900371,-0.00533236777884,0.0828422856889
DX_target_plus_aux_feedback,DX_target_feedback_matched,knn,manual,scope_non_normal_rate,leave_supported_room_conservative,69,18,0.289755653574,0.248174753203,0.041580900371,-0.00533236777884,0.0828422856889
DX_target_plus_aux_feedback,DX_target_feedback_matched,knn,manual,scope_non_normal_rate,same_room_leave_view,40,12,0.167255434783,0.155172101449,0.0120833333333,0,0.0257407407407
DX_target_plus_aux_feedback,DX_target_feedback_matched,knn,manual,scope_p_normal,leave_building,69,18,0.289755653574,0.248174753203,0.041580900371,-0.00533236777884,0.0828422856888
DX_target_plus_aux_feedback,DX_target_feedback_matched,knn,manual,scope_p_normal,leave_supported_room_conservative,69,18,0.289755653574,0.248174753203,0.041580900371,-0.00533236777884,0.0828422856888
DX_target_plus_aux_feedback,DX_target_feedback_matched,knn,manual,scope_p_normal,same_room_leave_view,40,12,0.167255434783,0.155172101449,0.0120833333333,0,0.0257407407407
DX_target_plus_aux_feedback,DX_target_feedback_matched,knn,manual,scope_p_oos_geometry,leave_building,69,18,0.047465868515,0.0469463698103,0.000519498704759,-0.0127899443764,0.0152643559255
DX_target_plus_aux_feedback,DX_target_feedback_matched,knn,manual,scope_p_oos_geometry,leave_supported_room_conservative,69,18,0.047465868515,0.0469463698103,0.000519498704759,-0.0127899443764,0.0152643559255
DX_target_plus_aux_feedback,DX_target_feedback_matched,knn,manual,scope_p_oos_geometry,same_room_leave_view,40,12,0.0686594202898,0.0686594202898,0,-0.0108017309725,0.00989583333333
DX_target_plus_aux_feedback,DX_target_feedback_matched,knn,manual,scope_p_oos_insufficient,leave_building,69,18,0.0454911433172,0.0344041867955,0.0110869565217,-0.0150050287356,0.0468334156785
DX_target_plus_aux_feedback,DX_target_feedback_matched,knn,manual,scope_p_oos_insufficient,leave_supported_room_conservative,69,18,0.0454911433172,0.0344041867955,0.0110869565217,-0.0150050287356,0.0468334156785
DX_target_plus_aux_feedback,DX_target_feedback_matched,knn,manual,scope_p_oos_insufficient,same_room_leave_view,40,12,0.0120833333333,0.013125,-0.00104166666667,-0.00284090909091,0
