condition,target,design,method,baseline,n,groups,delta,lo,hi,group_macro
manual,cdf_observed_by19,same_building_diagnostic,dinov3__block11__faces_local96,source_frequency,37,10,0.0213513513514,-0.0271428571429,0.0634269897304,0.0111142857143
manual,cdf_observed_by19,same_building_diagnostic,dinov3__block11__panorama_global,source_frequency,37,10,0.0408108108108,-0.0315087108014,0.09,0.0251714285714
manual,cdf_observed_by19,same_building_diagnostic,dinov3__block11__panorama_local16,source_frequency,37,10,0.0278378378378,0.0072972972973,0.0452380952381,0.0190571428571
manual,cdf_observed_by19,same_building_diagnostic,dinov3__block11__panorama_mean,source_frequency,37,10,0.0497297297297,-0.0310526315789,0.111148809524,0.0295428571429
manual,cdf_observed_by19,same_building_diagnostic,dinov3__block12__faces_concat,source_frequency,37,10,0.0643243243243,0.00457432432432,0.115135135135,0.0417142857143
manual,cdf_observed_by19,same_building_diagnostic,dinov3__block12__faces_global,source_frequency,37,10,0.0367567567568,-0.034,0.105531914894,0.0235428571429
manual,cdf_observed_by19,same_building_diagnostic,dinov3__block12__faces_local16,source_frequency,37,10,0.0262162162162,-0.0340013513514,0.0839567923186,0.0167142857143
manual,cdf_observed_by19,same_building_diagnostic,dinov3__block12__faces_local96,source_frequency,37,10,0.0286486486486,-0.0375234375,0.0938870454545,0.0136571428571
manual,cdf_observed_by19,same_building_diagnostic,dinov3__block12__panorama_global,source_frequency,37,10,0.0202702702703,-0.0514285714286,0.0921212121212,0.00802857142857
manual,cdf_observed_by19,same_building_diagnostic,dinov3__block12__panorama_local16,source_frequency,37,10,0.0354054054054,-0.0234285714286,0.0864890970516,0.0204857142857
manual,cdf_observed_by19,same_building_diagnostic,dinov3__block12__panorama_mean,source_frequency,37,10,0.0348648648649,-0.036,0.0982969043152,0.0188285714286
manual,cdf_observed_by19,same_building_diagnostic,dinov3__block3__faces_concat,source_frequency,37,10,0.0348648648649,-0.0396875,0.101794871795,0.0183142857143
manual,cdf_observed_by19,same_building_diagnostic,dinov3__block3__faces_global,source_frequency,37,10,0.0110810810811,-0.0748275862069,0.0925,0.00591428571429
manual,cdf_observed_by19,same_building_diagnostic,dinov3__block3__faces_local16,source_frequency,37,10,-0.00864864864865,-0.0527586206897,0.0306896551724,-0.00645714285714
manual,cdf_observed_by19,same_building_diagnostic,dinov3__block3__faces_local96,source_frequency,37,10,-0.0113513513514,-0.0351724137931,0.017027027027,-0.00845714285714
manual,cdf_observed_by19,same_building_diagnostic,dinov3__block3__panorama_global,source_frequency,37,10,-0.0354054054054,-0.11,0.0494053308824,-0.0228285714286
manual,cdf_observed_by19,same_building_diagnostic,dinov3__block3__panorama_local16,source_frequency,37,10,-0.0259459459459,-0.0697623015873,0.0410344827586,-0.0148
manual,cdf_observed_by19,same_building_diagnostic,dinov3__block3__panorama_mean,source_frequency,37,10,-0.042972972973,-0.130588235294,0.042,-0.0304285714286
manual,cdf_observed_by19,same_building_diagnostic,dinov3__block6__faces_concat,source_frequency,37,10,0.0481081081081,-0.0624137931034,0.143855555556,0.0258857142857
