condition,k,method,baseline,metric,images,buildings,delta,ci_low,ci_high,building_macro_delta
oos_geometry,8,joint,image_prefix,brier,9,6,0.03974722727114919,-0.1523966215168798,0.18390814727893734,-0.017659704493243455
oos_geometry,8,interaction,training_frequency,brier,9,6,0.12388633693287354,0.03956623115238509,0.1819731016241002,0.09441892964343601
oos_geometry,8,interaction,prefix,brier,9,6,0.14333859039489455,0.03113803414106958,0.21964687216195233,0.11405203239296353
oos_geometry,8,interaction,image_prefix,brier,9,6,0.033541377427924374,-0.12575350237432556,0.14251321297080102,-0.001683685984657309
semi,2,prefix,training_frequency,brier,42,12,-0.027457297939245947,-0.0806363168460373,0.022519874280068835,-0.03875245391156614
semi,2,prefix,image_prefix,brier,42,12,0.007682402896151842,-0.07215745370837587,0.10860204592498547,0.011940333435624126
semi,2,image_prefix,training_frequency,brier,42,12,-0.03513970083539778,-0.12385894782947793,0.04230892852063685,-0.050692787347190287
semi,2,image_prefix,prefix,brier,42,12,-0.007682402896151842,-0.10744893353108442,0.07498875713097368,-0.011940333435624126
semi,2,person_prefix,training_frequency,brier,42,12,0.05638549843651308,-0.018570693457924215,0.10857511270463846,0.01036777194546845
semi,2,person_prefix,prefix,brier,42,12,0.08384279637575905,0.03756657836984942,0.11982054107876924,0.04912022585703459
semi,2,person_prefix,image_prefix,brier,42,12,0.09152519927191088,-0.006691395885999443,0.19167031705261275,0.06106055929265871
semi,2,joint,training_frequency,brier,42,12,0.06500466318775161,-0.006401567855928162,0.1341084117194703,0.05217833992557916
semi,2,joint,prefix,brier,42,12,0.09246196112699756,0.005532224722417558,0.17400423686283845,0.09093079383714531
semi,2,joint,image_prefix,brier,42,12,0.1001443640231494,0.04334738887083068,0.1521481474656366,0.10287112727276944
semi,2,interaction,training_frequency,brier,42,12,0.10563415258971268,0.029371256879495978,0.17371961754591506,0.09382672635286825
semi,2,interaction,prefix,brier,42,12,0.13309145052895863,0.04534993203684869,0.2219092984437946,0.13257918026443438
