image_id,building,condition,kind,n,k,half_TV,half_within_geometry,half_future_coverage,late_new_geometry,late_support_promotions,full_within_geometry
q9vSo1VnCiC_c421f07780004647a7198c4ac5371e8a,q9vSo1VnCiC,manual,same_point_only_multimodal,24,12,0.0391666666667,0.0496811532654,0.9625,0,0.0666666666667,0.089670517843
q9vSo1VnCiC_c4b0b6a41c2a4db3927f5fa9cafb6345,q9vSo1VnCiC,manual,not_supported_multimodal,6,3,0.166666666667,0.0652251923634,0.85,0.15,0,0.0689807813785
q9vSo1VnCiC_dc320b1236f741a98303db9f89bc68a2,q9vSo1VnCiC,manual,not_supported_multimodal,5,3,0.155333333333,0.0211246963216,0.835,0.165,0,0.0210876417382
q9vSo1VnCiC_dc873df7717c43888a1cff13713fe146,q9vSo1VnCiC,manual,not_supported_multimodal,5,3,0.4,,0,1,0,
q9vSo1VnCiC_e74e843601574864a14517f990c748a0,q9vSo1VnCiC,manual,same_point_only_multimodal,24,12,0.129166666667,0.0517263659812,0.916666666667,0.0758333333333,0.035,0.0589348709902
q9vSo1VnCiC_f7452776f0604b508bb2b0263238deb0,q9vSo1VnCiC,manual,not_supported_multimodal,5,3,0.156,0.0391610218598,0.83,0.17,0,0.0396132353585
rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,rPc6DW4iMge,manual,different_point_only_multimodal,23,12,0.0402173913043,0.0270647406511,0.910909090909,0.02,0.0690909090909,0.0432772986405
rPc6DW4iMge_0dfe61800cc540db8e25c1738bc4b8ff,rPc6DW4iMge,manual,different_point_only_multimodal,5,3,0.230666666667,0.0689065641553,0,0.28,0.72,0.069048027704
rPc6DW4iMge_186a32a1b7e34cb797731bfa78365db5,rPc6DW4iMge,manual,different_point_only_multimodal,24,12,0.24875,0.0613984057126,0.5175,0.330833333333,0.0933333333333,0.0717836868317
rPc6DW4iMge_1f14902595544e389c9c910c444e79e7,rPc6DW4iMge,manual,different_point_only_multimodal,24,12,0.0754166666667,0.0314318752612,0.860833333333,0.0441666666667,0.0475,0.0277776000102
rPc6DW4iMge_4350d36797324601adba7351d09602d2,rPc6DW4iMge,manual,not_supported_multimodal,5,3,0,0.0391315146541,1,0,0,0.0258667891908
rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,rPc6DW4iMge,manual,same_point_only_multimodal,23,12,0.0938043478261,0.054489012629,0.94,0.0390909090909,0.0536363636364,0.0536617661928
rPc6DW4iMge_a72230c911234d18b08568b9d8b02dd2,rPc6DW4iMge,manual,different_point_only_multimodal,6,3,0.276666666667,0.0161676022682,0.133333333333,0.26,0.413333333333,0.0286026287575
rPc6DW4iMge_acbe920a0c5d4c018b1803ee9b1f331a,rPc6DW4iMge,semi,different_point_only_multimodal,22,11,0.248181818182,0.0424794842102,0.511818181818,0.279090909091,0.0854545454545,0.0341478726541
rPc6DW4iMge_cc15fb105d86466faafdd633f89148de,rPc6DW4iMge,manual,different_point_only_multimodal,24,12,0.0441666666667,0.043685961358,0.914166666667,0.0233333333333,0.0625,0.0591996017842
rPc6DW4iMge_fbc169773c954580baea6d2798c0d486,rPc6DW4iMge,manual,not_supported_multimodal,22,11,0.4,0.0607394931292,0.242727272727,0.73,0.00545454545455,0.0561143833346
uNb9QFRL6hY_07a43087f1e54e3f828851d8e457a283,uNb9QFRL6hY,manual,same_point_only_multimodal,24,12,0.191666666667,0.0689123865646,0.878333333333,0.0816666666667,0.125833333333,0.0474004164585
uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e,uNb9QFRL6hY,manual,same_point_only_multimodal,23,12,0.0951449275362,0.047878975883,0.960909090909,0.0390909090909,0.160909090909,0.0963128855836
uNb9QFRL6hY_3b9e548b46af4410b97e1d12781ec3c9,uNb9QFRL6hY,manual,mixed_point_and_geometry_multimodal,24,12,0.31125,0.0662948696656,0.274166666667,0.418333333333,0.223333333333,0.067340082205
uNb9QFRL6hY_5948424345f541b9a570b48f1cfcf622,uNb9QFRL6hY,manual,mixed_point_and_geometry_multimodal,23,12,0.301376811594,0.0868215275547,0.186363636364,0.409090909091,0.342727272727,0.095935478153
uNb9QFRL6hY_5b62816d9cf94f17ae166291822ea9ab,uNb9QFRL6hY,manual,not_supported_multimodal,5,3,0.228666666667,0.0475159351982,0.365,0.445,0.095,0.0726186934161
uNb9QFRL6hY_6115ed700b5144cfa3443346381cb7cd,uNb9QFRL6hY,manual,not_supported_multimodal,5,3,0.318666666667,0.0627485123536,0,0.63,0.37,0.0627485123536
uNb9QFRL6hY_6a500a9a43a340eb817c58bb084327fe,uNb9QFRL6hY,manual,different_point_only_multimodal,5,3,0.238666666667,0.043053779272,0,0.295,0.705,0.0688188096166
uNb9QFRL6hY_6c4fa6dfddc1499db228854454bfc61d,uNb9QFRL6hY,manual,same_point_only_multimodal,6,3,0.2,0.0301404082174,0.3,0.0333333333333,0.333333333333,0.0395532464483
uNb9QFRL6hY_6c4fa6dfddc1499db228854454bfc61d,uNb9QFRL6hY,semi,not_supported_multimodal,4,2,0.33,0.00701130918398,0,0.59,0.41,0.00701130918398
uNb9QFRL6hY_748279b5d6e740c4b2cba9fc78d6fc62,uNb9QFRL6hY,manual,not_supported_multimodal,5,3,0.156666666667,0.0333354244036,0.825,0.175,0,0.0312724166825
uNb9QFRL6hY_748279b5d6e740c4b2cba9fc78d6fc62,uNb9QFRL6hY,semi,not_supported_multimodal,4,2,0.25,0,0.245,0.245,0.255,0
uNb9QFRL6hY_85e7a14905bd44648061e3eb7f79cf13,uNb9QFRL6hY,manual,not_supported_multimodal,5,3,0.167333333333,0.0349677750791,0.745,0.255,0,0.0381594092811
uNb9QFRL6hY_85e7a14905bd44648061e3eb7f79cf13,uNb9QFRL6hY,semi,not_supported_multimodal,5,3,0.156666666667,0.0359299825441,0.825,0.175,0,0.0305659695118
uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,uNb9QFRL6hY,manual,mixed_point_and_geometry_multimodal,23,12,0.182282608696,0.0527220075853,0.801818181818,0.0718181818182,0.116363636364,0.0538553302245
uNb9QFRL6hY_978d7a8eb0794936bd8fd092306e1dc5,uNb9QFRL6hY,manual,mixed_point_and_geometry_multimodal,23,12,0.240942028986,0.075167718123,0.739090909091,0.140909090909,0.168181818182,0.0889323234791
