condition,chain,method,metric,status,images,median_real_n,real,predicted,mae
manual,type_2_only,seed_context_t025,late_repartition,evaluated,46,17.0,0.00822181389503427,0.00023775772340483553,0.008436412033458868
manual,type_2_only,seed_context_t025,terminal_modes,evaluated,46,17.0,5.358695652173913,2.286005434782609,3.1161684782608696
manual,type_2_only,seed_context_t025,terminal_point_disagreement,evaluated,46,17.0,0.311389571564225,0.2528015741141141,0.13598716155719326
manual,type_2_only,seed_context_t025,terminal_singleton_fraction,evaluated,46,17.0,0.18268757886009535,0.005666806796906112,0.1773315847940787
manual,type_2_only,seed_context_t025,terminal_supported,evaluated,46,17.0,2.402173913043478,2.199048913043478,0.8362771739130435
manual,type_2_only,seed_context_t025,terminal_within,evaluated,46,17.0,0.03977336230217092,0.019012507035888138,0.021561693561337296
manual,type_2_only,seed_equal,diagnostic_stable100,evaluated,46,17.0,0.1956521739130435,0.7574728260869565,0.5713315217391305
manual,type_2_only,seed_equal,diagnostic_stable80,evaluated,46,17.0,0.391304347826087,0.7961956521739131,0.44972826086956524
manual,type_2_only,seed_equal,diagnostic_stable_multimode80,evaluated,46,17.0,0.1956521739130435,0.4470108695652174,0.48233695652173914
manual,type_2_only,seed_equal,half_count_tv,evaluated,46,17.0,0.17618184955141478,0.11352576130089717,0.10312904373706004
manual,type_2_only,seed_equal,half_output_mmd,evaluated,46,17.0,0.18416664598514315,0.1358894446165708,0.07036306280629664
manual,type_2_only,seed_equal,invalid_generated,evaluated,46,17.0,0.0,0.0,0.0
manual,type_2_only,seed_equal,late_half_new,evaluated,46,17.0,0.18342822636300896,0.01756868961352657,0.17203405365769497
manual,type_2_only,seed_equal,late_quarter_new,evaluated,46,17.0,0.16340579710144928,0.010360054347826086,0.16060914855072464
manual,type_2_only,seed_equal,late_repartition,evaluated,46,17.0,0.00822181389503427,0.0001365033563289904,0.008327008923519607
manual,type_2_only,seed_equal,terminal_modes,evaluated,46,17.0,5.358695652173913,2.292119565217391,3.110054347826087
manual,type_2_only,seed_equal,terminal_point_disagreement,evaluated,46,17.0,0.311389571564225,0.25806532447862035,0.13897213675426592
manual,type_2_only,seed_equal,terminal_singleton_fraction,evaluated,46,17.0,0.18268757886009535,0.005243373244276588,0.1778349416203655
manual,type_2_only,seed_equal,terminal_supported,evaluated,46,17.0,2.402173913043478,2.2119565217391304,0.8342391304347826
manual,type_2_only,seed_equal,terminal_within,evaluated,46,17.0,0.03977336230217092,0.019145536104128,0.021469775858258516
manual,type_2_only,seed_person_t025,diagnostic_stable100,evaluated,46,17.0,0.1956521739130435,0.7506793478260869,0.5631793478260869
manual,type_2_only,seed_person_t025,diagnostic_stable80,evaluated,46,17.0,0.391304347826087,0.8029891304347826,0.4483695652173913
manual,type_2_only,seed_person_t025,diagnostic_stable_multimode80,evaluated,46,17.0,0.1956521739130435,0.44904891304347827,0.4830163043478261
manual,type_2_only,seed_person_t025,half_count_tv,evaluated,46,17.0,0.17618184955141478,0.10943781271566597,0.10134332945134576
manual,type_2_only,seed_person_t025,half_output_mmd,evaluated,46,17.0,0.18416664598514315,0.12856581891865937,0.06924036627818021
manual,type_2_only,seed_person_t025,invalid_generated,evaluated,46,17.0,0.0,0.0,0.0
manual,type_2_only,seed_person_t025,late_half_new,evaluated,46,17.0,0.18342822636300896,0.019102883454106278,0.17185100716011042
manual,type_2_only,seed_person_t025,late_quarter_new,evaluated,46,17.0,0.16340579710144928,0.010371376811594203,0.1610733695652174
manual,type_2_only,seed_person_t025,late_repartition,evaluated,46,17.0,0.00822181389503427,0.00013680833851803054,0.00827790679108414
manual,type_2_only,seed_person_t025,terminal_modes,evaluated,46,17.0,5.358695652173913,2.282608695652174,3.119565217391304
manual,type_2_only,seed_person_t025,terminal_point_disagreement,evaluated,46,17.0,0.311389571564225,0.24983349421877907,0.1350801970082198
manual,type_2_only,seed_person_t025,terminal_singleton_fraction,evaluated,46,17.0,0.18268757886009535,0.006695479094134279,0.1763828357705078
manual,type_2_only,seed_person_t025,terminal_supported,evaluated,46,17.0,2.402173913043478,2.1779891304347827,0.8328804347826086
manual,type_2_only,seed_person_t025,terminal_within,evaluated,46,17.0,0.03977336230217092,0.018962694521553268,0.021580937973614538
manual,type_2_only,seed_type4,diagnostic_stable100,evaluated,46,17.0,0.1956521739130435,0.7384510869565217,0.5523097826086957
manual,type_2_only,seed_type4,diagnostic_stable80,evaluated,46,17.0,0.391304347826087,0.8009510869565217,0.43953804347826086
manual,type_2_only,seed_type4,diagnostic_stable_multimode80,evaluated,46,17.0,0.1956521739130435,0.43342391304347827,0.47554347826086957
manual,type_2_only,seed_type4,half_count_tv,evaluated,46,17.0,0.17618184955141478,0.10614027993443755,0.1024470000862664
manual,type_2_only,seed_type4,half_output_mmd,evaluated,46,17.0,0.18416664598514315,0.12660714527718334,0.07377421391013322
manual,type_2_only,seed_type4,invalid_generated,evaluated,46,17.0,0.0,0.0,0.0
manual,type_2_only,seed_type4,late_half_new,evaluated,46,17.0,0.18342822636300896,0.020047500431331952,0.17254437327467217
manual,type_2_only,seed_type4,late_quarter_new,evaluated,46,17.0,0.16340579710144928,0.014673913043478261,0.15996376811594204
manual,type_2_only,seed_type4,late_repartition,evaluated,46,17.0,0.00822181389503427,0.00020146456259454449,0.00839197012978516
manual,type_2_only,seed_type4,terminal_modes,evaluated,46,17.0,5.358695652173913,2.25,3.1480978260869565
manual,type_2_only,seed_type4,terminal_point_disagreement,evaluated,46,17.0,0.311389571564225,0.23910281760545507,0.12725046301391957
manual,type_2_only,seed_type4,terminal_singleton_fraction,evaluated,46,17.0,0.18268757886009535,0.008385415812785539,0.17499483141900632
manual,type_2_only,seed_type4,terminal_supported,evaluated,46,17.0,2.402173913043478,2.1154891304347827,0.8342391304347826
manual,type_2_only,seed_type4,terminal_within,evaluated,46,17.0,0.03977336230217092,0.018794551431702205,0.021650781053841748
