image_id,building,condition,cut,scene,n_valid,n_modes,n_supported_modes,supported_mass,singleton_mass,largest_share,topology_disagreement,same_topology_between_mode_pair_fraction,within_mode_mean_d,between_mode_same_topology_mean_d,within_mode_median_d,within_mode_max_median_d,within_mode_macro_median_d,same_topology_median_d,mode_entropy,topology_entropy,supported_topologies,supported_minority_modes,same_topology_multimodality,n_observed,n_invalid,stages,contexts,imputed_responses,late_new,late_promotions,later_repartition,n_singletons,naive_many_modes,scene_category,main_function_primary
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,B6ByNegPMKs,manual,0.1,通行与连接,6,4,2,0.666666666667,0.333333333333,0.333333333333,0.333333333333,0.8,0.0278884200636,0.261896278021,0.0278884200636,0.0296620246809,0.0278884200636,0.26286352262,1.91829583405,0.650022421648,1,0,True,6,0,C1,1,0,0.48,0.52,0,2,False,通行与连接,circulation
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,B6ByNegPMKs,manual,0.2,通行与连接,6,3,2,0.833333333333,0.166666666667,0.5,0.333333333333,0.6,0.0826662991674,0.303380311271,0.0784197743381,0.127177523995,0.0784197743381,0.26286352262,1.45914791703,0.650022421648,1,0,True,6,0,C1,1,0,0.206666666667,0.476666666667,0,1,False,通行与连接,circulation
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,B6ByNegPMKs,semi,0.05,通行与连接,4,3,1,0.5,0.5,0.5,0.5,0.666666666667,0.0267439092136,0.11628618058,0.0267439092136,0.0267439092136,0.0267439092136,0.104944865922,1.5,0.811278124459,1,0,False,4,0,C1,1,0,0.55,0.45,0,2,False,通行与连接,circulation
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,B6ByNegPMKs,semi,0.1,通行与连接,4,3,1,0.5,0.5,0.5,0.5,0.666666666667,0.0267439092136,0.11628618058,0.0267439092136,0.0267439092136,0.0267439092136,0.104944865922,1.5,0.811278124459,1,0,False,4,0,C1,1,0,0.575,0.425,0,2,False,通行与连接,circulation
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,B6ByNegPMKs,semi,0.2,通行与连接,4,2,1,0.75,0.25,0.75,0.5,0,0.0864387567914,,0.104944865922,0.104944865922,0.104944865922,0.104944865922,0.811278124459,0.811278124459,1,0,False,4,0,C1,1,0,0.24,0.26,0,1,False,通行与连接,circulation
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,B6ByNegPMKs,manual,0.05,通行与连接,24,19,3,0.333333333333,0.666666666667,0.166666666667,0.159420289855,0.965517241379,0,0.370184060743,0,0,0,0.346355599574,4.08496250072,0.413816850304,1,3,True,24,0,P1,1,0,0.7125,0.1425,0,16,True,通行与连接,circulation
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,B6ByNegPMKs,manual,0.1,通行与连接,24,15,5,0.583333333333,0.416666666667,0.25,0.159420289855,0.918103448276,0.0367569984812,0.386022754157,0.0606399566131,0.0835475578406,0.0547806549702,0.346355599574,3.60538854221,0.413816850304,1,4,True,24,0,P1,1,0,0.460833333333,0.250833333333,0.000178814969399,10,True,通行与连接,circulation
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,B6ByNegPMKs,manual,0.2,通行与连接,24,12,5,0.708333333333,0.291666666667,0.25,0.159420289855,0.879310344828,0.069134202353,0.396987607552,0.0606399566131,0.131894206705,0.0644499847431,0.346355599574,3.20498685577,0.413816850304,1,3,True,24,0,P1,1,0,0.2625,0.203333333333,0.00197926516202,7,True,通行与连接,circulation
B6ByNegPMKs_e26e2cb761894264a4a34b1046701f6b,B6ByNegPMKs,manual,0.05,通行与连接,5,5,0,0,1,0.2,0.7,1,,0.0842045325516,,,,0.0812562313061,2.32192809489,1.37095059445,0,0,False,5,0,C1,1,0,1,0,0,5,True,通行与连接,circulation
B6ByNegPMKs_e26e2cb761894264a4a34b1046701f6b,B6ByNegPMKs,manual,0.1,通行与连接,5,3,1,0.6,0.4,0.6,0.7,0,0.0842045325516,,0.0812562313061,0.0812562313061,0.0812562313061,0.0812562313061,1.37095059445,1.37095059445,1,0,False,5,0,C1,1,0,0.426666666667,0.24,0,2,False,通行与连接,circulation
