condition,target,design,method,subset,images,buildings,components,image_loss,building_macro_loss,accuracy
manual,grade_v1,same_mainspace_other_building,dinov3__block3__panorama_mean,all_available,24,12,12,1,1.13888888889,0.5
manual,grade_v1,same_mainspace_other_building,dinov3__cls__panorama,all_available,24,12,12,1,1.13888888889,0.5
manual,grade_v1,same_mainspace_other_building,source_frequency_or_median,all_available,24,12,12,0.534444444444,0.597268518519,0.625
manual,grade_v1,same_mainspace_other_building,uniform_random_source_expectation,all_available,24,12,12,0.916666666667,0.976388888889,0.541666666667
manual,grade_v1,same_scene_other_building,dinov3__block12__faces_global,all_available,25,12,12,1.04,1.125,0.48
manual,grade_v1,same_scene_other_building,dinov3__block12__panorama_mean,all_available,25,12,12,1.12,1.16666666667,0.44
manual,grade_v1,same_scene_other_building,dinov3__block3__panorama_mean,all_available,25,12,12,0.88,0.833333333333,0.56
manual,grade_v1,same_scene_other_building,dinov3__cls__panorama,all_available,25,12,12,0.88,0.958333333333,0.56
manual,grade_v1,same_scene_other_building,source_frequency_or_median,all_available,25,12,12,0.534189002268,0.591820003464,0.6
manual,grade_v1,same_scene_other_building,uniform_random_source_expectation,all_available,25,12,12,0.948095238095,0.971792328042,0.525952380952
manual,half_tv_all,all_other_building,dinov3__block12__faces_global,all_available,133,20,31,0.162940550357,0.145823709477,
manual,half_tv_all,all_other_building,dinov3__block12__panorama_mean,all_available,133,20,31,0.161746698936,0.152578675585,
manual,half_tv_all,all_other_building,dinov3__block3__panorama_mean,all_available,133,20,31,0.171958160562,0.172930364023,
manual,half_tv_all,all_other_building,dinov3__cls__panorama,all_available,133,20,31,0.161214036213,0.162182743256,
manual,half_tv_all,all_other_building,source_frequency_or_median,all_available,133,20,31,0.112618683892,0.108766203014,
manual,half_tv_all,all_other_building,uniform_random_source_expectation,all_available,133,20,31,0.166390151003,0.164741161438,
manual,half_tv_all,same_building_diagnostic,dinov3__block12__faces_global,all_available,131,18,30,0.159958889977,0.163396904989,
manual,half_tv_all,same_building_diagnostic,dinov3__block12__panorama_mean,all_available,131,18,30,0.169533979219,0.170200445151,
manual,half_tv_all,same_building_diagnostic,dinov3__block3__panorama_mean,all_available,131,18,30,0.180529354037,0.171604564113,
manual,half_tv_all,same_building_diagnostic,dinov3__cls__panorama,all_available,131,18,30,0.166254849136,0.165378305506,
manual,half_tv_all,same_building_diagnostic,source_frequency_or_median,all_available,131,18,30,0.129235836175,0.130837613987,
manual,half_tv_all,same_building_diagnostic,uniform_random_source_expectation,all_available,131,18,30,0.167085394531,0.155046180727,
manual,half_tv_all,same_mainspace_other_building,dinov3__block12__faces_global,all_available,133,20,31,0.157844951467,0.154185443324,
manual,half_tv_all,same_mainspace_other_building,dinov3__block12__panorama_mean,all_available,133,20,31,0.166388500614,0.150952790381,
manual,half_tv_all,same_mainspace_other_building,dinov3__block3__panorama_mean,all_available,133,20,31,0.165162316286,0.153248564162,
manual,half_tv_all,same_mainspace_other_building,dinov3__cls__panorama,all_available,133,20,31,0.144701654412,0.130989441575,
manual,half_tv_all,same_mainspace_other_building,source_frequency_or_median,all_available,133,20,31,0.121268535586,0.118311881476,
manual,half_tv_all,same_mainspace_other_building,uniform_random_source_expectation,all_available,133,20,31,0.16598331745,0.165033623191,
manual,half_tv_all,same_scene_other_building,dinov3__block12__faces_global,all_available,126,19,31,0.164559826407,0.168065353208,
manual,half_tv_all,same_scene_other_building,dinov3__block12__panorama_mean,all_available,126,19,31,0.177308873555,0.173922991527,
manual,half_tv_all,same_scene_other_building,dinov3__block3__panorama_mean,all_available,126,19,31,0.160024703534,0.161576946225,
manual,half_tv_all,same_scene_other_building,dinov3__cls__panorama,all_available,126,19,31,0.160854159971,0.157471477195,
manual,half_tv_all,same_scene_other_building,source_frequency_or_median,all_available,126,19,31,0.121927468448,0.114518157545,
manual,half_tv_all,same_scene_other_building,uniform_random_source_expectation,all_available,126,19,31,0.169349569195,0.167490007156,
manual,half_tv_all,supported_same_room,dinov3__block12__faces_global,all_available,24,7,10,0.0949527338603,0.108216551383,
manual,half_tv_all,supported_same_room,dinov3__block12__panorama_mean,all_available,24,7,10,0.0933864459815,0.107142525409,
manual,half_tv_all,supported_same_room,dinov3__block3__panorama_mean,all_available,24,7,10,0.0961819005269,0.108918932336,
manual,half_tv_all,supported_same_room,dinov3__cls__panorama,all_available,24,7,10,0.0954558904259,0.108325065092,
manual,half_tv_all,supported_same_room,source_frequency_or_median,all_available,24,7,10,0.090889314339,0.105287779189,
manual,half_tv_all,supported_same_room,uniform_random_source_expectation,all_available,24,7,10,0.0944958690162,0.107884814762,
manual,late_quarter_new,all_other_building,dinov3__block12__faces_global,all_available,133,20,31,0.304081453634,0.286654663161,
manual,late_quarter_new,all_other_building,dinov3__block12__panorama_mean,all_available,133,20,31,0.282710526316,0.28148998964,
manual,late_quarter_new,all_other_building,dinov3__block3__panorama_mean,all_available,133,20,31,0.305823308271,0.298192584961,
manual,late_quarter_new,all_other_building,dinov3__cls__panorama,all_available,133,20,31,0.274751879699,0.285740792078,
manual,late_quarter_new,all_other_building,source_frequency_or_median,all_available,133,20,31,0.199605263158,0.207574108299,
manual,late_quarter_new,all_other_building,uniform_random_source_expectation,all_available,133,20,31,0.281393672781,0.289876444041,
manual,late_quarter_new,same_building_diagnostic,dinov3__block12__faces_global,all_available,131,18,30,0.283030534351,0.279812725341,
manual,late_quarter_new,same_building_diagnostic,dinov3__block12__panorama_mean,all_available,131,18,30,0.282723918575,0.267938362692,
manual,late_quarter_new,same_building_diagnostic,dinov3__block3__panorama_mean,all_available,131,18,30,0.31389821883,0.290388667274,
manual,late_quarter_new,same_building_diagnostic,dinov3__cls__panorama,all_available,131,18,30,0.282393129771,0.265511965144,
manual,late_quarter_new,same_building_diagnostic,source_frequency_or_median,all_available,131,18,30,0.222982188295,0.215118138549,
manual,late_quarter_new,same_building_diagnostic,uniform_random_source_expectation,all_available,131,18,30,0.280504218513,0.254997352545,
manual,late_quarter_new,same_mainspace_other_building,dinov3__block12__faces_global,all_available,133,20,31,0.287443609023,0.287292366892,
manual,late_quarter_new,same_mainspace_other_building,dinov3__block12__panorama_mean,all_available,133,20,31,0.282852130326,0.277891126929,
